Markables;Sender;Addressee;other Ps;Turn transcription;FS text;Task;autoFeedback;alloFeedback;turnManagement;timeManagement;ownCommunicationManagement;partnerCommunicationManagement;discourseStructuring;socialObligationsManagement;Comments;
sw03-0304-fs65;B;A;; it's not, {F uh, } -/;it's not;;;;;;da72: retraction;;;;;
sw03-0304-fs66;B;A;;;uh;;;;;da73: stalling;;;;;;
sw03-0304-fs67;A;B;;{D See, } I've only been to Texas once.  /;See;;;;da74: turnGrab;;;;;;;
sw03-0304-fs68;A;B;;;I've only been to Texas once;da75: inform {Cause da65};;;;;;;;;;
sw03-0304-fs69;A;B;; I have two sisters in Texas now, {F um, } one in Austin, one in Dallas,  /; I have two sisters in Texas now, one in Austin, one in Dallas;da76: inform {Expansion da75};;;;;;;;;;
sw03-0304-fs70;A;B;;;um,;;;;da77: turnKeep;da78: stalling;;;;;;
sw03-0304-fs71;A;B;;{C and } the one in Dallas is the one that got me to doing this -- /;and the one in Dallas is the one that got me to doing this;da79: inform {Expansion da76};;;;;;;;;;
sw03-0304-fs72;B;A;; Yeah. /; Yeah;;da80: autoPositive (Fe: da79);;;;;;;;;
sw03-0304-fs73;A;B;; -- {C and, }  {F uh, } I thought Austin was beautiful -- /;and;;;;da81: turnKeep;;;;;;;
sw03-0304-fs74;A;B;;;uh;;;;;da82: stalling;;;;;;
sw03-0304-fs75;A;B;;;I thought Austin was beautiful;da83: inform {Expansion da79};;;;;;;;;;
sw03-0304-fs76;B;A;;You, -/;You;;;;da84: turnTake;;da85: retraction;;;;;
sw03-0304-fs77;A;B;; -- I liked the hills -- and the trees,/; I liked the hills and the trees;da86: inform {Elaboration da83};;;;;;;;;;
sw03-0304-fs78;B;A;; Yeah,  /; Yeah;;da87: autoPositive (Fe: da86);;;;;;;;;
sw03-0304-fs79;B;A;;  in Aus-, -/; in Aus-;;;;;;da88: retraction;;;;;
sw03-0304-fs80;B;A;; Yeah, /; Yeah,;;da89: autoPositive (Fe: da86);;;;;;;;;
sw03-0304-fs81;B;A;;it's really different because [ that's kind of the, +   {D you know, } that's the ] chalk hills down there,;it's really different because  that's the chalk hills down there,;da90: inform {Cause da86};;;;;;;;;;
sw03-0304-fs82;B;A;;;that's kind of the, that's the;;;;;;da91: selfCorrection;;;;;
sw03-0304-fs83;B;A;;;you know;;;;;da92: stalling;;;;;;
sw03-0304-fs84;A;B;;# {F Oh, } {C and } you've always, #;Oh;;;;da93: turnGrab;;;;;;;
sw03-0304-fs85;A;B;; lived in Texas, have you? /;and  you've always lived in Texas, have you?;da94: checkQuestion;;;;;;;;;;
sw03-0304-fs86;B;A;; # [ lime-, + limestone ]  hills # /;lime-, limestone;;;;;;da95: selfCorrection;;;;;
sw03-0304-fs87;B;A;;;the  limestone hills;;;;;;da96: selfCorrection;;;;;
sw03-0304-fs88;B;A;;Yeah,  /;Yeah;da97: confirm (Fu: da94);;;;;;;;;;
sw03-0304-fs89;B;A;;except for time in service. /;except for time in service;da98: inform {Exception da97};;;;;;;;;;
sw03-0304-fs90;A;B;;Uh-huh.  /;Uh-huh;;da99: autoPositive (Fe: da98);;;;;;;;;
sw03-0304-fs91;A;B;;Born and raised Texan, {F huh. } /;Born and raised Texan, huh;da100: checkQuestion;;;;;;;;;;
sw03-0304-fs92;B;A;; Yeah. /;Yeah;da101: confirm (Fu: da100);;;;;;;;;;
sw03-0304-fs93;A;B;;{D Well, } I had never been there,  /;Well,;;;;da102: turnTake;da103: stalling;;;;;;
sw03-0304-fs94;A;B;;;I had never been there;da104: inform {Expansion da75};;;;;;;;;;
sw03-0304-fs95;A;B;;that's pretty neat.  /;that's pretty neat;da105: inform {Evaluation da101};;;;;;;;;;
sw03-0304-fs96;A;B;;My sisters both seem to like it pretty well.  /;My sisters both seem to like it pretty well;da106: inform {Expansion da105};;;;;;;;;;
sw03-0304-fs97;A;B;;My brother-in-law works for the University, {F um, } in Dallas. /;My brother-in-law works for the University, in Dallas;da107: inform {Expansion da106};;;;;;;;;;
sw03-0304-fs98;A;B;;;um;;;;;da108: stalling;;;;;;
sw03-0304-fs99;B;A;;[  Wh-, +;Wh;da109: setQuestion;;;;;;;;;;
sw03-0304-fs100;A;B;;He's admissions director. /;He's admissions director;da110: inform {Elaboration da107};;;;;;;;;;
sw03-0304-fs101;B;A;;[ At,  + at ]  which ] one? /;At, at;;;;da111: turnTake;da112: stalling;;;;;;
sw03-0304-fs102;B;A;;;at which one?;da113: setQuestion;;;;;;;;;;
sw03-0304-fs103;A;B;;{F Uh. }  University of Texas in Dallas. /;Uh;;;;da114: turnTake;da115: stalling;;;;;;
sw03-0304-fs104;A;B;;;University of Texas in Dallas;da116: answer (Fu: da113);;;;;;;;;;
sw03-0304-fs105;B;A;; {F Oh, } okay -- /;Oh, okay;;da117: autoPositive (Fe: da117);;;da118: stalling;;;;;;
sw03-0304-fs106;A;B;;Yeah. /;Yeah;;da119: autoPositive (Fe: da118);;;;;;;;;
sw03-0304-fs107;B;A;;-- it's just north of me here. /;it's just north of me here;da120: inform {Expansion da117};;;;;;;;;;
sw03-0304-fs108;A;B;;Yeah. /;Yeah;;da121: autoPositive (Fe: da120);;;;;;;;;
sw03-0304-fs109;A;B;;{D well } [ that's, + he's ] got a job  there  /;Well;;;;da122: turnKeep;;;;;;;
sw03-0304-fs110;A;B;;;that's,;;;;;;da123: retraction;;;;;
sw03-0304-fs111;A;B;;;he's got a job  there;da124: inform {Restatement da117};;;;;;;;;;
sw03-0304-fs112;A;B;;{C and } this is his first year,  /;and this is his first year;da125: inform {Expansion da124};;;;;;;;;;
sw03-0304-fs113;A;B;;{C so, } it's been a real interesting thing for them <laughter>. /;so, it's been a real interesting thing for them;da126: inform {Cause da125};;;;;;;;;;
sw03-0304-fs114;B;A;;That's great. /;That's great.;;da127: autoPositive (Fe: da126);;;;;;;;;
sw03-0304-fs115;A;B;;{C But } they seem to like it okay.  /;But they seem to like it okay.;da128: inform {Concession da125};;;;;;;;;;
sw03-0304-fs116;A;B;;I think they're too far away from me,  /;I think they're too far away from me,;da129: inform {Expansion da128};;;;;;;;;;
sw03-0304-fs117;A;B;;{C but } --maybe some day they can get closer /;but maybe some day they can get closer;da130: inform {Contrast da129};;;;;;;;;;
sw03-0304-fs118;B;A;; {D Well, } yeah, /;Well,;;;;da131: turnTake;;;;;;;
sw03-0304-fs119;B;A;;;yeah;;da132: autoPositive (Fe: da131);;;;;;;;;
sw03-0304-fs120;A;B;;we'll see. /;we'll see;;;;;;;;da133: interactionStructuring;;;
sw03-0304-fs121;B;A;; Pretty good trip.  /; Pretty good trip;da134: agreement (Fu: da128);;;;;;;;;;
sw03-0304-fs122;B;A;;{C So } [ what do you, + what kind of  hobbies are you ] in? /;So;;;;;;;;da135: interactionStructuring;;;
sw03-0304-fs123;B;A;;;what do you, what kind of  ;;;;;;da136: selfCorrection;;;;;
sw03-0304-fs124;B;A;;;what kind of  hobbies are you in?;da137: setQuestion;;;;;;;;;;
sw03-0304-fs125;A;B;; {D Well, } I'm mother of four,  /;Well,;;;;;da138: stalling;;;;;;
sw03-0304-fs126;A;B;;;I'm mother of four;da139: answer (Fu: da137);;;;;;;;;;
sw03-0304-fs127;A;B;;{C so } basically I'm just real busy with my kids right now in sports;so basically I'm just real busy with my kids right now in sports;da140: answer (Fu: da137) {Cause da139,da140};;;;;;;;;;
sw03-0304-fs128;B;A;;<Laughter>;<Laughter>;;da141: autoPositive (Fe: da140);;;;;;;;;
sw03-0304-fs129;A;B;;{C and } we have a little Halloween talent show tonight,  /;and we have a little Halloween talent show tonight;da142: inform {Expansion da140};;;;;;;;;;
sw03-0304-fs130;A;B;;{C and, }  <inhaling> I substitute at the schools part-time. /;and, <inhaling>;;;;da143: turnKeep;;;;;;;
sw03-0304-fs131;A;B;;;I substitute at the schools part-time;da144: inform {Expansion da140};;;;;;;;;;
sw03-0304-fs132;B;A;; {F Oh, } that's great. /;Oh,;;;;da145: turnTake;da146: stalling;;;;;;
sw03-0304-fs133;B;A;;;that's great;;da147: autoPositive (Fe: da142,da144);;;;;;;;;
sw03-0304-fs134;A;B;;{D Well, } I am a travel agent at heart,  /;Well,;;;;da148: turnTake;da149: stalling;;;;;;
sw03-0304-fs135;A;B;;;I am a travel agent at heart;da150: inform {Expansion da139};;;;;;;;;;
sw03-0304-fs136;A;B;;{C and }  my hobby is just, - /;my hobby is just;;;;;;da151: retraction;;;;;
sw03-0304-fs137;A;B;;I love traveling [ and, + and ] being involved of that and finding out more, {F uh, }  /;I love traveling and being involved in that and finding out more;da152: inform {Elaboration da150};;;;;;;;;;
sw03-0304-fs138;A;B;;;and, and;;;;;da153: stalling;;;;;;
sw03-0304-fs139;A;B;;;uh;;;;;da154: stalling;;;;;;
sw03-0304-fs140;A;B;;{C but, }  it's real hard to work in the summers and  holidays and weekends when you have four children and a husband,  /;but, it's real hard to work in the summers and  holidays and weekends when you have four children and a husband;da155: inform {Concession da152};;;;;;;;;;
sw03-0304-fs141;A;B;;{C so } --  I reluctantly gave that career up and am just substituting at the school,  /;so I reluctantly gave that career up and am just substituting at the school;da156: inform {Cause da156};;;;;;;;;;
sw03-0304-fs142;B;A;;No, kidding. /;No, kidding. ;;da157: autoPositive (Fe: da156);;;;;;;;;
sw03-0304-fs143;A;B;;{C so } I've been librarian all this week, which has been real interesting,  /;so I've been librarian all this week, which has been real interesting,  ;da158: inform {Cause da155};;;;;;;;;;
sw03-0304-fs144;A;B;;{C and } I'm enjoying it.  /;and I'm enjoying it.  ;da159: inform {Evaluation da158};;;;;;;;;;
sw03-0304-fs145;A;B;;I'm around my kids  /;I'm around my kids  ;da160: inform {Cause da159};;;;;;;;;;
sw03-0304-fs146;A;B;;{C and, };and,;;;;da161: turnKeep;;;;;;;
sw03-0304-fs147;B;A;;That's pretty easy substituting isn't it? /;That's pretty easy substituting isn't it?;da162: checkQuestion;;;;;;;;;;
sw03-0304-fs148;A;B;;{F Oh } yeah,  /;Oh yeah, ;da163: confirm (Fu: da162);;;;;;;;;;
sw03-0304-fs149;A;B;;yeah, /;yeah,;da164: confirm (Fu: da162);;;;;;;;;;
sw03-0304-fs150;B;A;;<Laughter>.;<Laughter>.;;da165: autoPositive (Fe: da162);;;;;;;;;
sw03-0304-fs151;A;B;; it's great,  /; it's great, ;da166: inform {Restatement da159};;;;;;;;;;
sw03-0304-fs152;A;B;; it's great,  /; it's great, ;da167: inform {Restatement da159};;;;;;;;;;
sw03-0304-fs153;A;B;;{C and } what else do I do,  /;and what else do I do, ;;;;;;;;da168: interactionStructuring;;;
sw03-0304-fs154;A;B;;I do lots of cross stitching when I have time -- /;I do lots of cross stitching when I have time;da169: answer (Fu: da137);;;;;;;;;;
sw03-0304-fs155;B;A;;Ooh. /;Ooh.;;da170: autoPositive (Fe: da169);;;;;;;;;
sw03-0304-fs156;A;B;;-- {C and } I enter things in our little state fair,  /;and I enter things in our little state fair,;da171: inform {Elaboration da157};;;;;;;;;;
sw03-0304-fs157;A;B;; {C and } that's pretty fun. /;and that's pretty fun.;da172: inform {Evaluation da171};;;;;;;;;;
sw03-0304-fs158;B;A;;That's great. /;That's great.;;da173: autoPositive (Fe: da169,da171);;;;;;;;;
sw03-0304-fs159;A;B;;{D Well, } {C but, }  actually my hobbies [ is +  mostly  is ] my sports. Tennis,  /;Well, but,;;;;da174: turnTake;;;;;;;
sw03-0304-fs160;A;B;;;actually my hobbies mostly  is my sports. Tennis,;da175: inform {Concession da169,da171};;;;;;;;;;
sw03-0304-fs161;;;;;is mostly is;;;;;;da176: selfCorrection;;;;;
sw03-0304-fs162;A;B;; I play tennis. /; I play tennis;da177: inform {Restatement da175};;;;;;;;;;
sw03-0304-fs163;B;A;; {F Ooh, }  I love tennis too -- /;Ooh;;;;da178: turnTake;da179: stalling;;;;;;
sw03-0304-fs164;B;A;;;I love tennis too;da180: inform {Similarity da177};;;;;;;;;;
sw03-0304-fs165;A;B;;Ooh,  /;Ooh,;;da181: autoPositive (Fe: da180);;;;;;;;;
sw03-0304-fs166;A;B;;do you? /;do you?;da182: propositionalQuestion;;;;;;;;;;
sw03-0304-fs167;B;A;;-- {C and } I [ ski, + ski, ]  /;and I ski;da183: inform {Elaboration da174};;;;;;;;;;
sw03-0304-fs168;B;A;;;ski, ski;;;;;da184: stalling;;;;;;
sw03-0304-fs169;B;A;;do you ski? /;do you ski?;da185: propositionalQuestion;;;;;;;;;;
sw03-0304-fs170;A;B;;Yes,  /;Yes,;da186: answer (Fu: da185);;;;;;;;;;
sw03-0304-fs171;A;B;;we snow ski.  /;we snow ski;da187: inform {Elaboration da186};;;;;;;;;;
sw03-0304-fs172;A;B;;We snow ski at Mount Bachelor mostly -- in Oregon, /;We snow ski at Mount Bachelor mostly, in Oregon ;da188: inform {Elaboration da187};;;;;;;;;;
sw03-0304-fs173;B;A;;{F Uh, } that's great. /;Uh,;;;;da189: turnTake;da190: stalling;;;;;;
sw03-0304-fs174;B;A;;;that's great;;da191: autoPositive (Fe: da188);;;;;;;;;
sw03-0304-fs175;A;B;;have you ever been there? /;have you ever been there?;da192: propositionalQuestion;;;;;;;;;;
sw03-0304-fs176;B;A;;No, {F uh, } /;No;da193: answer (Fu: da193);;;;;;;;;;
sw03-0304-fs177;B;A;;;uh,;;;;;da194: stalling;;;;;;
sw03-0304-fs178;A;B;;Wonderful place. /;Wonderful place.;da195: inform {Evaluation da188};;;;;;;;;;
sw03-0304-fs179;B;A;;I've skied in Colorado  /;I've skied in Colorado;da196: inform {Contrast da188};;;;;;;;;;
sw03-0304-fs180;B;A;;{C and } --;and;;;;da197: turnKeep;;;;;;;
sw03-0304-fs181;B;A;;we usually go to New Mexico because it's a little cheaper --;we usually go to New Mexico because it's a little cheaper;da198: inform {Contrast da196};;;;;;;;;;
sw03-0304-fs182;A;B;;Ooh. /;Ooh;;da199: autoPositive (Fe: da198);;;;;;;;;
sw03-0304-fs183;B;A;;{D you know} /;you know;;;da200: feedbackElicitation;;;;;;;;
sw03-0304-fs184;A;B;;Uh-huh.  /;Uh-huh;;da201: autoPositive (Fe: da198);;;;;;;;;
sw03-0304-fs185;A;B;;Where in Colorado? /;Where in Colorado?;da202: setQuestion;;;;;;;;;;
sw03-0304-fs186;B;A;;I've been to Telluride which is on the west side;I've been to Telluride which is on the west side;da203: answer (Fu: da202);;;;;;;;;;
sw03-0304-fs187;A;B;;Yes,  /;Yes,;;da204: autoPositive (Fe: da203);;;;;;;;;
sw03-0304-fs188;A;B;;Yes,  /;yes;;da205: autoPositive (Fe: da203);;;;;;;;;
sw03-0304-fs189;B;A;; -- and, {F uh, } Copper,  /;and;;;;da206: turnKeep;;;;;;;
sw03-0304-fs190;B;A;;;uh;;;;;da207: stalling;;;;;;
sw03-0304-fs191;B;A;;;Copper;da208: answer (Fu: da202) {Expansion da203};;;;;;;;;;
sw03-0304-fs192;B;A;;Copper is kind of my favorite up there.;Copper is kind of my favorite up there.;da209: inform {Expansion da208};;;;;;;;;;
sw03-0304-fs193;A;B;;Really. /;Really;;da210: autoPositive (Fe: da209);;;;;;;;;
sw03-0304-fs194;B;A;;Breckenridge --;Breckenridge;da211: answer (Fu: da202) {Expansion da203};;;;;;;;;;
sw03-0304-fs195;A;B;;Uh-huh. /;Uh-huh;;da212: autoPositive (Fe: da211);;;;;;;;;
sw03-0304-fs196;B;A;; -- and Keystone.  /;and Keystone;da213: answer (Fu: da202) {Expansion da203};;;;;;;;;;
sw03-0304-fs197;B;A;;I guess those are the only places I've skied up there. /;I guess those are the only places I've skied up there;da214: inform {Expansion da203,da208,da211,da213};;;;;;;;;;
sw03-0304-fs198;A;B;;I would love, - / I can hardly wait to get -- upthere. /;I would love, I can hardly wait to get;;;;;;da215: selfCorrection;;;;;
sw03-0304-fs199;A;B;;;I can hardly wait to get up there;da216: inform;;;;;;;;;;
sw03-0304-fs200;B;A;;Me, too. /;Me, too;da217: inform {Similarity da216};;;;;;;;;;
sw03-0304-fs201;B;A;; [ You guys, + are you guys ] getting snow? /;You guys, are you guys;;;;;;da218: selfCorrection;;;;;
sw03-0304-fs202;B;A;;;are you guys getting snow?;da219: propositionalQuestion;;;;;;;;;;
sw03-0304-fs203;A;B;;We, - /;We,;;;;;;da220: retraction;;;;;
sw03-0304-fs204;A;B;;it is snowing right now.  /;it is snowing right now;da221: answer (Fu: da219);;;;;;;;;;
sw03-0304-fs205;A;B;;We're to get one to three inches tonight. /;We're to get one to three inches tonight;da222: inform {Expansion da221};;;;;;;;;;
sw03-0304-fs206;B;A;; <Laughter> {F Oh, } gee, /; <Laughter> Oh, gee;;da223: autoPositive (Fe: da222);;;;;;;;;
sw03-0304-fs207;B;A;;I heard Aspen got three feet. /;I heard Aspen got three feet;da224: inform {Contrast da222};;;;;;;;;;
sw03-0304-fs208;A;B;;{F Oh, } yeah,  /;Oh, yeah,;;da225: autoPositive (Fe: da224);;;;;;;;;
sw03-0304-fs209;A;B;;{D well }  [  we're, + we are ]  on the dry side of the mountains.  /;well;;;;da226: turnKeep;da227: stalling;;;;;;
sw03-0304-fs210;A;B;;;we're, we are;;;;;;da228: selfCorrection;;;;;
sw03-0304-fs211;A;B;;;we are on the dry side of the mountains;da229: inform {Cause da222};;;;;;;;;;
sw03-0304-fs212;A;B;;Seattle is only about two and a half hours,  /;Seattle is only about two and a half hours;da230: inform {Expansion da229};;;;;;;;;;
sw03-0304-fs213;A;B;;{C so } of course I'm a real Seahawks fan -- /;so of course I'm a real Seahawks fan;da231: inform {Cause da230};;;;;;;;;;
sw03-0304-fs214;B;A;; Yeah. /; Yeah;;da232: autoPositive (Fe: da231);;;;;;;;;
sw03-0304-fs215;A;B;;-- {C and, }  {F um, } going over that pass is  just a real nightmare. /;and,;;;;da233: turnTake;;;;;;;
sw03-0304-fs216;A;B;;;um,;;;;;da234: stalling;;;;;;
sw03-0304-fs217;A;B;;;going over that pass is  just a real nightmare;da235: inform {Expansion da229};;;;;;;;;;
sw03-0304-fs218;B;A;; I can imagine, my lord. /; I can imagine, my lord;;da236: autoPositive (Fe: da235);;;;;;;;;
sw03-0304-fs219;A;B;;[ [ {C And, }  + {F um, } {C so, } ] + {C and } ]  we're on the colder side,  /;And,;;;;da237: turnTake;;;;;;;
sw03-0304-fs220;A;B;;;um, so, ;;;;;da238: stalling;;;;;;
sw03-0304-fs221;A;B;;;and we're on the colder side,;da239: inform {Elaboration da229};;;;;;;;;;
sw03-0304-fs222;A;B;;they're on the rainy side,  /;they're on the rainy side;da240: inform {Contrast da229};;;;;;;;;;
sw03-0304-fs223;A;B;;we're on the snowy side  /;we're on the snowy side;da241: inform {Contrast da229};;;;;;;;;;
sw03-0304-fs224;A;B;;{C and, }  {F um, } [ we, + we ] ski.  /;and,;;;;da242: turnKeep;;;;;;;
sw03-0304-fs225;A;B;;;um,;;;;;da243: stalling;;;;;;
sw03-0304-fs226;A;B;;;we, we;;;;;da244: stalling;;;;;;
sw03-0304-fs227;A;B;;;we ski;da245: inform {Expansion da241};;;;;;;;;;
sw03-0304-fs228;A;B;;[ My, + my ] children all ski -- /;My, my;;;;;da246: stalling;;;;;;
sw03-0304-fs229;A;B;;;my children all ski;da247: inform {Elaboration da245};;;;;;;;;;
sw03-0304-fs230;B;A;;{F Oh, } super. /;Oh, super;;da248: autoPositive (Fe: da247);;;;;;;;;
sw03-0304-fs231;A;B;;-- {C and } [ we've, + we have ] been to Whistler in Canada,  which is just a marvelous place,  ;we've, we have;;;;;;da249: selfCorrection;;;;;
sw03-0304-fs232;A;B;;;and we have been to Whistler in Canada,  which is just a marvelous place,  ;da250: inform {Expansion da245};;;;;;;;;;
sw03-0304-fs233;A;B;;Whistler and Black Home <<spelled phonetically>> is in Canada,  /;Whistler and Black Home <<spelled phonetically>> is in Canada;da251: inform {Elaboration da250};;;;;;;;;;
sw03-0304-fs234;A;B;; {C and then } we've gone to Sun Valley several times,  /;and then we've gone to Sun Valley several times;da252: inform {Expansion da250};;;;;;;;;;
sw03-0304-fs235;A;B;;that's [ a, + just a ] great place. But  [ no Colora-, + not in Colorado ]  /;that's just a great place. ;da253: inform {Evaluation da252};;;;;;;;;;
sw03-0304-fs236;A;B;;;But not in Colorado;da254: inform {Concession da252};;;;;;;;;;
sw03-0304-fs237;A;B;;;a, just a;;;;;;da255: selfCorrection;;;;;
