Markables;Sender;Addressee;other Ps;Turn transcription;FS text;Task;autoFeedback;alloFeedback;turnManagement;timeManagement;ownCommunicationManagement;partnerCommunicationManagement;discourseStructuring;socialObligationsManagement;Comments
TRAINS1-fs43;U;S;;;but the thing is that I was thinking if we could actually pick up those two boxcars which are at Bath;da52: inform;;;;;;;;;
;U;S;;;s- I was wondering;;;;;;;;;;abandoned
TRAINS1-fs44;S;U;;mm;mm;;da53: autoPositive (Fe: da52);;;;;;;;
TRAINS1-fs45;U;S;;but I think that we can't even put them in to VOC_breath that they won't even come in to unless how far is it from Elmira to Bath VOC_breath;but I think that we can't even put them in to;da54:  inform;;;;;;;;;
TRAINS1-fs46;U;S;;;VOC_breath;;;;da55: turnKeep;da56: stalling;;;;;
TRAINS1-fs47;U;S;;;that they won't even come in to;da57: inform;;;;;da58: selfCorrection (Fe: da54);;;;
TRAINS1-fs48;U;S;;;unless;;;;;;da59: retraction;;;;
TRAINS1-fs49;U;S;;;how far is it from Elmira to Bath VOC_breath;da60: setQuestion;;;;;;;;;
TRAINS1-fs50;S;U;;two hours;two hours;da61: answer (Fu: da60);;;;;;;;;
TRAINS1-fs51;U;S;;oh really so then we could actually take like engine E VOC_breath have it go to Bath pick up those two box cars take it to Corn- how long from Bath to Corning an hour I guess;oh really;;da62: autoPositive [surprise] (Fe: da61);;;;;;;;
TRAINS1-fs52;U;S;;;so then;;;;da63: turnKeep;;;;;;
TRAINS1-fs53;U;S;;;we could actually take like engine E;da64: inform;;;;;;;;;
TRAINS1-fs54;U;S;;;VOC_breath;;;;da65: turnKeep;da66: stalling;;;;;
TRAINS1-fs55;U;S;;;have it go to Bath pick up those two box cars;da67: inform;;;;;;;;;
TRAINS1-fs56;U;S;;;take it to Corn-;;;;;;da68: retraction;;;;
TRAINS1-fs57;U;S;;;how long from Bath to Corning;da69: setQuestion;;;;;;;;;
TRAINS1-fs58;U;S;;;an hour I guess;da70: checkQuestion;;;;;;;;;
TRAINS1-fs59;S;U;;two hours;two hours;da71: answer (Fu:  da69);;;;;;;;;
TRAINS1-fs60;U;S;;oh wait a second I thought well from like Elmira through to Corning to Bath is many hours VOC_breath;oh wait a second;;da72: autoPositive [surprise] (Fe: da71);;;;;;;;
TRAINS1-fs61;U;S;;;I thought well from like Elmira through to Corning to Bath is many hours;da73: setQuestion;;;;;;;;;
TRAINS1-fs62;U;S;;;VOC_breath;;;;;da74: stalling;;;;;
TRAINS1-fs63;S;U;;four hours;four hours;da75: answer (Fu: da73);;;;;;;;;
TRAINS1-fs64;U;S;;oh that's four hours so we're like screwed as far as those two box cars at Bath wa- tho- like I don't think we so to get the maximum number of box cars of oranges to bath by seven am I don't think we can even use those two at Bath I don- s- VOC_brreath because there we because we can't get an engine to Bath in time;oh that's four hours;;da75: autoPositive (Fe: da75);;;;;;;;
TRAINS1-fs65;U;S;;;so we're like screwed as far as those two box cars at Bath;da77: inform {Cause: Result da75};;;;;;;;;
;U;S;;;wa-;;;;;;;;;;abandoned
;U;S;;;tho-;;;;;;;;;;abandoned
TRAINS1-fs66;U;S;;;like I don't think we so to get the maximum number of box cars of oranges to bath by seven am I don't think we can even use those two at Bath;da78: inform {Elab: Specific da77};;;;;;;;;
;U;S;;;i don-;;;;;;;;;;abandoned
;U;S;;;s-;;;;;;;;;;abandoned
TRAINS1-fs67;U;S;;;VOC_breath;;;;da79: turnKeep;da80: stalling;;;;;
;U;S;;;because there we;;;;;;;;;;abandoned
TRAINS1-fs68;U;S;;;because we can't get an engine to Bath in time;da81: inform {Cause: Reason da78};;;;;;;;;
TRAINS1-fs69;S;U;;that's right;that's right;da82: agreement (Fu: da81);;;;;;;;;
TRAINS1-fs70;U;S;;okay VOC_breath so we have the three boxcars at Dansville so how far is it from Avon to Danville;okay;;da83: autoPositive (Fe: da82);;da84: turnTake;;;;;;
TRAINS1-fs71;U;S;;;VOC_breath so;;;;da85: turnKeep;;;;;;
TRAINS1-fs72;U;S;;;we have the three boxcars at Dansville;da86: inform;;;;;;;;;
TRAINS1-fs73;U;S;;;so;;;;da87: turnKeep;;;;;;
TRAINS1-fs74;U;S;;;how far is it from Avon to Danville;da88: setQuestion;;;;;;;;;
TRAINS1-fs75;S;U;;three hours;three hours;da89: answer (Fu: da88);;;;;;;;;
TRAINS1-fs76;U;S;;three hours then from Dansville to Corning;three hours;;da90: autoPositive (Fe: da89);;;;;;;;
TRAINS1-fs77;U;S;;;then from Dansville to Corning;da91: SetQuestion;;;;;;;;;
TRAINS1-fs78;S;U;;one hour;one hour;da92: answer (Fu: da91);;;;;;;;;
TRAINS1-fs79;U;S;;okay so we can actually use those three boxcars right;okay;;da93: autoPositive (Fe: da92);;da94: turnTake;;;;;;
TRAINS1-fs80;U;S;;;so we can actually use those three boxcars right;da95: checkQuestion;;;da96: turnAssign;;;;;;
TRAINS1-fs81;S;U;;mm-hm;mm-hm;da97: confirm (Fu: da95);;;;;;;;;
TRAINS1-fs82;U;S;;okay so that's three boxcars okay so that's engine E one from Avon going to Dansville pick up the three boxcars go to Corning load them up and then take it to Bath okay so that's good VOC_breath so then I guess we can also take like engine E two with those two boxcars from Elmira take it to Corning, so Elmira to Corning is two hours?;okay;;da99: autoPositive (Fe: da87);;da99: turnTake;;;;;;
TRAINS1-fs83;U;S;;;so that's three boxcars;da100: inform;;;;;;;;;
TRAINS1-fs84;U;S;;;okay;;;;da101: turnKeep;;;;;;
TRAINS1-fs85;U;S;;;so that's engine E one from Avon going to Dansville pick up the three boxcars go to Corning load them up and then take it to Bath;da102: inform;;;;;;;;;
TRAINS1-fs86;U;S;;;okay;;;;da103: turnKeep;;;;;;
TRAINS1-fs87;U;S;;;so that's good;da104: inform;;;;;;;;;
TRAINS1-fs88;U;S;;;VOC_breath so;;;;da105: turnKeep;;;;;;
TRAINS1-fs89;U;S;;;then I guess we can also take like engine E two with those two boxcars from Elmira take it to Corning;da106: inform;;;;;;;;;
TRAINS1-fs90;U;S;;;so Elmira to Corning is two hours;da107: checkQuestion;;;;;;;;;
TRAINS1-fs91;S;U;;mm-hm;mm-hm;da108: confirm (Fu: da107);;;;;;;;;
TRAINS1-fs92;U;S;;okay VOC_breath and okay VOC_breath so yeah that should also work;okay;;da109: autoPositive (Fe: da108);;da110: turnTake;;;;;;
TRAINS1-fs93;U;S;;;VOC_breath and;;;;da111: turnKeep;;;;;;
TRAINS1-fs94;U;S;;;okay;;;;da112: turnKeep;;;;;;
TRAINS1-fs95;U;S;;;VOC_breath so;;;;da113: turnKeep;da114: stalling;;;;;
TRAINS1-fs96;U;S;;;yeah that should also work;da115: inform;;;;;;;;;
TRAINS1-fs97;S;U;;mm-hm;mm-hm;da116: agreement (Fu: da115);;;;;;;;;
TRAINS1-fs98;U;S;;so le- so did you wanna repeat that plan;so;;;;da117: turnTake;;;;;;
;U;S;;;le-;;;;;;;;;;abandoned
TRAINS1-fs99;U;S;;;so did you wanna repeat that plan;da118: request;;;da119: turnAssign;;;;;;
TRAINS1-fs100;S;U;;okay engine one goes to Dansville picks up three boxcars goes to Corning is loaded with oranges and goes to Bath engine E two picks takes the two boxcars at Elmira to Corning where they're loaded with oranges and then takes them to Bath;okay;da120: acceptRequest (Fu: da118);;;da121: turnAccept;;;;;;
TRAINS1-fs101;S;U;;;engine one goes to Dansville picks up three boxcars goes to Corning is loaded with oranges and goes to Bath engine E two picks takes the two boxcars at Elmira to Corning where they're loaded with oranges and then takes them to Bath;da122: inform;;;;;;;;;
TRAINS1-fs102;U;S;;okay so that gives us a maximum number of five okay;okay;;;da123: alloPositive (Fe: da122);;;;;;;
TRAINS1-fs103;U;S;;;so that gives us a maximum number of five;da124: inform {Cause: Result da122};;;;;;;;;
TRAINS1-fs104;U;S;;;okay;;;;;;;;da125: interactionStructuring;;
