Markables;Sender;Addressee;other Ps;Turn transcription;FS text;Task;autoFeedback;alloFeedback;turnManagement;timeManagement;ownCommunicationManagement;partnerCommunicationManagement;discourseStructuring;socialObligationsManagement;Comments;
sw01-0105-fs20;A;B;;;okay;;da23: autoPositive (Fe: da20);;;;;;;;;
sw01-0105-fs21;A;B;;{D Well, } I would probably be a junkie or [ s-, + watch ] <laughter> CNN a lot,  /;Well;;;;da24: turnKeep;da25: stalling;;;;;;
sw01-0105-fs22;A;B;;;I would probably be a junkie or watch <laughter> CNN a lot;da26: inform;;;;;;;;;;
sw01-0105-fs23;A;B;;;s-,  watch;;;;;;da27: selfCorrection;;;;;
sw01-0105-fs24;A;B;;{C but } [ I don't, + {F uh, } I don't, ] {F uh, } subscribe to cable --;but;;;;da28: turnKeep;;;;;;;
sw01-0105-fs25;A;B;;;I don't subscribe to cable;da29: inform {Concession:Expectation-denier da25};;;;;;;;;;
sw01-0105-fs26;A;B;;;I don't, uh, I don't, uh;;;;;da30: stalling;;;;;;
sw01-0105-fs27;B;A;;Uh-huh. /;Uh-huh;;da31: autoPositive (Fe: da29);;;;;;;;;
sw01-0105-fs28;A;B;; -- [ be-, + because ] of the poor service and also, {F uh, } because, - /;be-, because;;;;;da32: stalling;;;;;;
sw01-0105-fs29;A;B;;;because of the poor service and also because I give to the United Way;da33: inform {Cause:Reason da29};;;;;;;;;;
sw01-0105-fs30;A;B;;;uh;;;;;da34: stalling;;;;;;
sw01-0105-fs31;A;B;;{D well, } [ I, + {F uh, } I ] give to the United Way  /;well;;;;da35: turnKeep;da36: stalling;;;;;;
sw01-0105-fs32;A;B;;;I, uh, I;;;;;da37: stalling;;;;;;
sw01-0105-fs33;A;B;;{C and so } I figured that amount of money I just donate to that. /;and so;;;;da38: turnKeep;;;;;;;
sw01-0105-fs34;A;B;;;I figured that amount of money I just donate to that.;da39: inform {Cause:Result da29};;;;;;;;;;
sw01-0105-fs35;B;A;;Uh-huh,  /;Uh-huh;;da40: autoPositive (Fe: da39);;;;;;;;;
sw01-0105-fs36;B;A;;as opposed to paying for cable. /;as opposed to paying for cable;;da41: checkQuestion (Fe: da39);;;;;;;;;
sw01-0105-fs37;A;B;;Yeah,  /;Yeah;;;da42: confirm (Fu: da41);;;;;;;;
sw01-0105-fs38;A;B;;I take away a, {F uh, } addiction <laughter>. /;I take away a addiction <laughter>;da43: inform;;;;;;;;;;
sw01-0105-fs39;A;B;;;uh;;;;;da44: stalling;;;;;;
sw01-0105-fs40;B;A;;<Laughter>.; <Laughter>;;da45: autoPositive (Fe: da43);;;;;;;;;
sw01-0105-fs41;A;B;;{F Oh, } something. /; Oh, something;da46: inform {Restatement da43};;;;;;;;;;
sw01-0105-fs42;B;A;;Yeah. /;Yeah;da47: agreement (Fu: da43);;;;;;;;;;
sw01-0105-fs43;A;B;;{D Well } I, -/;Well;;;;da48: turnTake;;;;;;;
sw01-0105-fs44;A;B;;;I;;;;;;da49: retraction;;;;;
sw01-0105-fs45;B;A;;{F Uh, } overall [ I, + I, ] - /;Uh;;;;;da50: stalling;;;;;;
sw01-0105-fs46;B;A;;;I,  I ;;;;;;da51: retraction;;;;;
sw01-0105-fs47;B;A;;the quality of the news you get [ o-, + off ] of most, {F uh, } sources I would say is pretty low.  /;overall, the quality of the news you get of most sources I would say is pretty low. ;da52: inform;;;;;;;;;;
sw01-0105-fs48;B;A;;;o-, off ;;;;;da53: stalling;;;;;;
sw01-0105-fs49;B;A;;;uh;;;;;da54: stalling;;;;;;
sw01-0105-fs50;B;A;;It's, - /;It's;;;;;;da55: retraction;;;;;
sw01-0105-fs51;B;A;;usually you get pretty incomplete coverage  /;usually you get pretty incomplete coverage ;da56: inform {Elab:Specific da52};;;;;;;;;;
sw01-0105-fs52;B;A;;{C and } that's one of the reasons [ where I, + why I ] try and get as many sources as possible,  /;and;;;;da57: turnKeep;;;;;;;
sw01-0105-fs53;B;A;;;that's one of the reasons why I try and get as many sources as possible, ;da58: inform {Cause:Result da56};;;;;;;;;;
sw01-0105-fs54;B;A;;;where I,  why I ;;;;;;da59: selfCorrection;;;;;
sw01-0105-fs55;B;A;;{C because } if you hear the same story from three different sources, then you get a much clearer picture [ of, + of ] what is going on. You would hope,  /;because if you hear the same story from three different sources, then you get a much clearer picture of what is going on. You would hope,;da60: inform {Cause:Reason da58};;;;;;;;;;
sw01-0105-fs56;B;A;;;of, of;;;;;da61: stalling;;;;;;
sw01-0105-fs57;B;a;;{C but } still, {D you know, } hard to say --;but;;;;da62: turnKeep;;;;;;;
sw01-0105-fs58;B;A;;;still, you know, hard to say that what you've heard is what really is.;da63: inform;;;;;;;;;;
sw01-0105-fs59;A;B;;{F Oh. } /;Oh;;da64: autoPositive (Fe: da63);;;da65: stalling;;;;;;
sw01-0105-fs60;A;B;;[ What, + what, ] {F uh, } newspapers do you read? /;What;;;;da66: turnTake;;;;;;;
sw01-0105-fs61;A;B;;;What, what, uh;;;;;da67: stalling;;;;;;
sw01-0105-fs62;A;B;;;What newspapers do you read;da68: setQuestion;;;;;;;;;;
sw01-0105-fs63;B;A;;{D Well, } I read, {F uh, } the local newspaper  /;Well;;;;da69: turnTake;;;;;;;
sw01-0105-fs64;B;A;;;I read the local newspaper;da70: answer (Fu: da68);;;;;;;;;;
sw01-0105-fs65;B;A;;;uh;;;;;da71: stalling;;;;;;
sw01-0105-fs66;B;A;;{C and } I also try and read one of the, {F uh, } major dailies like the CHICAGO TRIBUNE, or the NEW YORK TIMES or something like that. /;and;;;;da72: turnKeep;;;;;;;
sw01-0105-fs67;B;A;;;I also try and read one of the major dailies like the CHICAGO TRIBUNE, or the NEW YORK TIMES or something like that.;da73: answer (Fu: da68);;;;;;;;;;
sw01-0105-fs68;B;A;;;uh;;;;;da74: stalling;;;;;;
sw01-0105-fs69;A;B;;Uh-huh.  /;Uh-huh;;da75: autoPositive (Fe: da73);;;;;;;;;
sw01-0105-fs70;A;B;;For a while there [ [ I, + I, ] + I, ] {F uh, } subscribed to NEW YORK TIMES, [ a-, + actually ] a couple of newspapers because, {F uh, } {D you know, } my fiance, - /;For a while there I subscribed to NEW YORK TIMES, a couple of newspapers;da76: inform;;;;;;;;;;
sw01-0105-fs71;A;B;;;I, I, I, uh;;;;;da77: stalling;;;;;;
sw01-0105-fs72;A;B;;;a-, actually;;;;;da78: stalling;;;;;;
sw01-0105-fs73;A;B;;;uh, you know;;;;;da79: stalling;;;;;;
sw01-0105-fs74;A;B;;{D well, } she was unemployed for a while  /;well;;;;da80: turnKeep;;;;;;;
sw01-0105-fs75;A;B;;;because my fiance - she was unemployed for a while ;da81: inform {Cause:Reason da76};;;;;;;;;;
sw01-0105-fs76;A;B;;{C so } she, {D you know, } really needed to look at [ the, + <inhaling> the ] [ want-, + help wanted ] ads -- /;so she really needed to look at the help wanted ads;da82: inform {Cause:Reason da76};;;;;;;;;;
sw01-0105-fs77;A;B;;;you know;;;;;da83: stalling;;;;;;
sw01-0105-fs78;A;B;;;the,  <inhaling> the;;;;;da84: stalling;;;;;;
sw01-0105-fs79;A;B;;;want-, help wanted;;;;;;da85: selfCorrection;;;;;
sw01-0105-fs80;B;A;;Uh-huh. /;Uh-huh;;da86: autoPositive (Fe: da82);;;;;;;;;
sw01-0105-fs81;A;B;;{C and } so often [ [ they, + they tr-, ] + the newspapers are ] trying to compete with a lot of other sources of [ newspape-, + {F uh, } news. ] /;and so often the newspapers are trying to compete with a lot of other sources of news;da87: inform;;;;;;;;;;
sw01-0105-fs82;A;B;;;they,  they tr-, the newspapers are;;;;;;da88: selfCorrection;;;;;
sw01-0105-fs83;A;B;;;newspape-, uh, news;;;;;da89: stalling;da90: selfCorrection;;;;;
sw01-0105-fs84;B;A;;Right. /;Right;;da91: autoPositive (Fe: da87);;;;;;;;;
sw01-0105-fs85;A;B;;{C And, } I don't know,  /;and;;;;da92: turnTake;;;;;;;
sw01-0105-fs86;A;B;;;I don't know,;da93: inform;;;;;;;;;;
sw01-0105-fs87;A;B;;NEW YORK TIMES is okay,  /;NEW YORK TIMES is okay;da94: inform;;;;;;;;;;
sw01-0105-fs88;A;B;;[ {C but, } + {F uh, } {C and } ] when you read a lot of this stuff, [ the, + the ] quality of the writing has definitely gone down in the last ten years or so,  /;but;;;;da95: turnKeep;;;;;;;
sw01-0105-fs89;A;B;;;uh;;;;;da96: stalling;;;;;;
sw01-0105-fs90;A;B;;;but when you read a lot of this stuff, the quality of the writing has definitely gone down in the last ten years or so;da97: inform {Contrast:Arg2 da94};;;;;;;;;;
sw01-0105-fs91;A;B;;;the, the;;;;;da98: stalling;;;;;;
sw01-0105-fs92;A;B;;{C but } --;but;;;;da99: turnKeep;;;;;;;
sw01-0105-fs93;B;A;;Uh-huh. /;Uh-huh;;da100: autoPositive (Fe: da97);;;;;;;;;
sw01-0105-fs94;A;B;;{F uh, } {E I mean, } [ they, + they ] say it's  like the sixth grade reading level,  /;uh, I mean;;;;;da101: stalling;;;;;;
sw01-0105-fs95;A;B;;;they, they;;;;;da102: stalling;;;;;;
sw01-0105-fs96;A;B;;;they say it's  like the sixth grade reading level;da103: inform;;;;;;;;;;
sw01-0105-fs97;A;B;;{C but } --;but I swear it's at least second or third grade sometimes.;da104: inform {Contrast:Arg2 da103};;;;;;;;;;
sw01-0105-fs98;B;A;;Right. /;Right. /;;da105: autoPositive (Fe: da103);;;;;;;;;
sw01-0105-fs99;B;A;;<Laughter>.;<Laughter>;;da106: autoPositive (Fe: da104);;;;;;;;;
sw01-0105-fs100;B;A;;Pretty low. /;Pretty low;;da107: autoPositive (Fe: da104);;;;;;;;;
sw01-0105-fs101;A;B;;<Throat_clearing> {C But, } I don't know,  /; <Throat_clearing>;;;;da108: turnTake;;;;;;;
sw01-0105-fs102;A;B;;;but, I don't know, I think if you listen to like NPR or something like;da109: inform;;;;;;;;;;
sw01-0105-fs103;A;B;;{F uh, } I think if you listen to {D like } NPR or something like, -/;uh;;;;da110: turnKeep;da111: stalling;;;;;;
sw01-0105-fs104;B;A;;Right,  /;Right;da112: agreement (Fu: da109);;;;;;;;;;
sw01-0105-fs105;B;A;;[ I, + I ] really like NPR a lot. /;I, I;;;;;da113: stalling;;;;;;
sw01-0105-fs106;B;A;;;I really like NPR a lot;da114: inform;;;;;;;;;;
sw01-0105-fs107;A;B;;That's pretty good.  /;That's pretty good.  /;da115: agreement (Fu: da114);;;;;;;;;;
sw01-0105-fs108;A;B;;{F Uh, } {C and } I like listening to that [ on, + on, ] {F uh, } - /;uh;;;;;da116: stalling;;;;;;
sw01-0105-fs109;A;B;;;and;;;;da117: turnKeep;;;;;;;
sw01-0105-fs110;A;B;;;on, on, uh;;;;;da118: stalling;;;;;;
sw01-0105-fs111;A;B;;when I get a chance, when I'm in the car a long enough time [ to, + to ] listen to it, because I, -/;I like listening to that when I get a chance, when I'm in the car a long enough time to listen to it, because I;da119: inform;;;;;;;;;;
sw01-0105-fs112;A;B;;;to, to;;;;;da120: stalling;;;;;;
sw01-0105-fs113;B;A;;Right,  /;Right;da121: agreement (Fu: da119);;;;;;;;;;
sw01-0105-fs114;B;A;;yeah,  /;yeah;da122: agreement (Fu: da119);;;;;;;;;;
sw01-0105-fs115;B;A;;I [ miss + ] NPR a lot also.  /;I miss NPR a lot also;da123: inform;;;;;;;;;;
sw01-0105-fs116;B;A;;I really like them because they give, {F uh, } - /;I really like them because they give, instead of being, as your newspaper or your TV news where you get a five minute blurb or a ten paragraph blurb, they go really in depth on topics which i think is good;da124: inform;;;;;;;;;;
sw01-0105-fs117;B;A;;;uh;;;;;da125: stalling;;;;;;
sw01-0105-fs118;A;B;;{F Uh, } /;Uh;;;;da126: turnTake;da127: stalling;;;;;;
sw01-0105-fs119;B;A;;{C And } they also, - /;And;;;;da128: turnTake;;;;;;;
sw01-0105-fs120;B;A;;;they also;;;;;;da129: retraction;;;;;
sw01-0105-fs121;B;A;;their editorial stand point seems to be a lot better than, say, your major network news and that kind of thing. /;their editorial stand point seems to be a lot better than, say, your major network news and that kind of thing;da130: inform;;;;;;;;;;
sw01-0105-fs122;A;B;;{D Well, } McNeil <<mispronounced>>, [ Neil-, + ] and Lehrer, - /;Well;;;;da131: turnTake;;;;;;;
sw01-0105-fs123;A;B;;;McNeil, Neil;;;;;;da132: selfCorrection;;;;;
sw01-0105-fs124;A;B;;;Neil and Lehrer, they're pretty good too;da133: inform;;;;;;;;;;
sw01-0105-fs125;A;B;;I guess he's leaving,  /;I guess one of them is leaving.;da134: inform;;;;;;;;;;
sw01-0105-fs126;A;B;;;he's leaving, one of them is leaving;;;;;;da135: selfCorrection;;;;;
sw01-0105-fs127;B;A;;Uh-huh. /;Uh-huh;;da136: autoPositive (Fe: da134);;;;;;;;;
sw01-0105-fs128;A;B;;{F Uh, } [ they're, + they're ] pretty good, too.  /;uh;;;;da137: turnTake;da138: stalling;;;;;;
sw01-0105-fs129;A;B;;;they're, they're;;;;;da139: stalling;;;;;;
sw01-0105-fs130;A;B;;{F Uh, } I guess a year ago you're probably watching CNN a lot, right? /;uh;;;;da140: turnKeep;da141: stalling;;;;;;
sw01-0105-fs131;A;B;;;I guess a year ago you're probably watching CNN a lot, right?;da142: checkQuestion;;;;;;;;;;
sw01-0105-fs132;B;A;;Right <laughter>  /;Right <laughter> ;da143: confirm (Fu: da142);;;;;;;;;;
sw01-0105-fs133;B;A;;yeah. /;yeah;da144: confirm (Fu: da142);;;;;;;;;;
sw01-0105-fs134;A;B;;Had that invasion or whatever it is. /;Had that invasion or whatever it is;da145: inform {Expand:Expander da142};;;;;;;;;;
sw01-0105-fs135;B;A;;Sure was. /;Sure was;da146: agreement (Fu: da145);;;;;;;;;;
sw01-0105-fs136;B;A;;{F Uh, } {C but } [ I, + I ] don't know,  /;uh;;;;da147: turnTake;da148: stalling;;;;;;
sw01-0105-fs137;B;A;;;I, I don't know;;;;;da149: stalling;;;;;;
sw01-0105-fs138;A;B;;I guess [ a lot of + it's still a lot of ] hype.  /;but I guess it's still a lot of hype;da150: inform;;;;;;;;;;
sw01-0105-fs139;A;B;;;a lot of it's still a lot of;;;;;;da151: selfCorrection;;;;;
sw01-0105-fs140;A;B;;Look at [ the, + the ] Smith trial. /;Look at the Smith trial;da152: suggest {Exemp:Instance da150};;;;;;;;;;
sw01-0105-fs141;A;B;;;the, the;;;;;da153: stalling;;;;;;
sw01-0105-fs142;B;A;;Uh-huh. /;Uh-huh;;da154: autoPositive (Fe: da152);;;;;;;;;
sw01-0105-fs143;A;B;;{E I mean, } that was a joke. /;I mean, that was a joke;da155: inform {Expand:Expander da152};;;;;;;;;;
sw01-0105-fs144;B;A;;Yeah,  /;Yeah that was;da156: agreement (Fu: da155);;;;;;;;;;
sw01-0105-fs145;B;A;;{C but } then you also have things [ where you, + {F uh, } where they ] broadcast the Clarence Thomas hearings basically the whole length of them which I thought was [ r-, + really ] good. /;but;;;;da157: turnKeep;;;;;;;
sw01-0105-fs146;B;A;;;but then you also have things where they broadcast the Clarence Thomas hearings basically the whole length of them which I thought was really good.;da158: inform {Contrast:Arg2 da155};;;;;;;;;;
sw01-0105-fs147;B;A;;;where you, where they;;;;;;da159: selfCorrection;;;;;
sw01-0105-fs148;B;A;;;uh;;;;;da160: stalling;;;;;;
sw01-0105-fs149;B;A;;; r-, really;;;;;da161: stalling;;;;;;
sw01-0105-fs150;A;B;;{F Oh, } yeah,  /;Oh yeah, the NPR doing that, yeah, I know;da162: agreement (Fu: da158);;;;;;;;;;
sw01-0105-fs151;A;B;;I had, {F uh, } some visitor  /;I had some visitor, he was just, I don't know, fixated on that, just listened to it constantly;da163: inform;;;;;;;;;;
sw01-0105-fs152;A;B;;;uh;;;;;da164: stalling;;;;;;
sw01-0105-fs153;A;B;;{C and } he was [ just in-, + just, ] I don't know, fixated on that, {D you know, } just listened to it --;and;;;;da165: turnKeep;;;;;;;
sw01-0105-fs154;A;B;;;just in-, just;;;;;;da166: selfCorrection;;;;;
sw01-0105-fs155;B;A;;Uh-uh. /;Uh-uh;;da167: autoPositive (Fe: da163);;;;;;;;;
sw01-0105-fs156;A;B;;{F Uh, } {C and } I guess that's good when it's live, [ if you, + if you'll ] really want that, /;uh;;;;da168: turnKeep;da169: stalling;;;;;;
sw01-0105-fs157;A;B;;;and I guess that's good when it's live, if you'll really want that;da170: inform;;;;;;;;;;
sw01-0105-fs158;A;B;;;if you, if you'll;;;;;;da171: selfCorrection;;;;;
sw01-0105-fs159;A;B;;{C but } that's not really providing you news. /;but;;;;da172: turnKeep;;;;;;;
sw01-0105-fs160;A;B;;;but that's not really providing you news. ;da173: inform {Contrast:Arg2 da170};;;;;;;;;;
sw01-0105-fs161;B;A;;Right. /;Right;da174: agreement (Fu: da173);;;;;;;;;;
sw01-0105-fs162;A;B;;[ It's, + it's ] more like a media event rather than --;it's it's ;;;;;da175: stalling;;;;;;
sw01-0105-fs163;A;B;;;it's more like a media event rather than reporting;da176: inform;;;;;;;;;;
sw01-0105-fs164;B;A;;{D Well, } [ {C but } the -- +;Well;;;;;da177: stalling;;;;;;
sw01-0105-fs165;B;A;;;but the news that you would get from any other source is being generated from that event, which is something that's good also about C Span which I tune into every once in a while;da178: inform;;;;;;;;;;
sw01-0105-fs166;B;A;;;ne-, news, news ;;;;;da179: stalling;;;;;;
sw01-0105-fs167;B;A;;;I, I;;;;;da180: stalling;;;;;;
sw01-0105-fs168;A;B;;{F Oh, } really?  /;Oh;;;;;da181: stalling;;;;;;
sw01-0105-fs169;A;B;;;really;;da182: autoPositive [surprise] (Fe: da178);;;;;;;;;
sw01-0105-fs170;A;B;;That's kind of boring to me, I think. /;That's kind of boring to me, I think;da183: inform {Cause:Reason da182};;;;;;;;;;
sw01-0105-fs171;B;A;;Yeah,  /;Yeah, it is really kind of boring;da184: agreement (Fu: da183);;;;;;;;;;
sw01-0105-fs172;B;A;;[ it, + it ] is, really kind of boring,  /;it, it;;;;;da185: stalling;;;;;;
sw01-0105-fs173;B;A;;{C but, } {D you know, } that's, - /;but;;;;da186: turnKeep;;;;;;;
sw01-0105-fs174;B;A;;;you know;;;;;da187: stalling;;;;;;
sw01-0105-fs175;B;A;;;but that's if you don't watch it there, then you're going to hear somebody else's canned report, somebody else's view about it;da188: inform;;;;;;;;;;
sw01-0105-fs176;B;A;;[ if, + if ] you don't watch it there, then you're going to hear somebody else's canned, {F uh, } report, somebody else's view about it  /;if, if;;;;;da189: stalling;;;;;;
sw01-0105-fs177;B;A;;;uh;;;;;da190: stalling;;;;;;
sw01-0105-fs178;B;A;;{C and } that's what [ you're supposed, + you're supposed ] to, - /;and;;;;da191: turnKeep;;;;;;;
sw01-0105-fs179;B;A;;;that's what you're supposed to;;;;;;da192: retraction;;;;;
sw01-0105-fs180;B;A;;;you're supposed, you're supposed;;;;;da193: stalling;;;;;;
sw01-0105-fs181;B;A;;if you watch the news, [ you're going, + your opinion is going ] to be formed [ about, + ] on what somebody else thought about it --;if you watch the news, your opinion is going to be formed on what somebody else thought about it;da194: inform;;;;;;;;;;
sw01-0105-fs182;B;A;;;you're going, your opinion is going;;;;;;da195: selfCorrection;;;;;
sw01-0105-fs183;B;A;;;about, on ;;;;;;da196: selfCorrection;;;;;
sw01-0105-fs184;A;B;;Yeah. /;Yeah;da197: agreement (Fu: da194);;;;;;;;;;
sw01-0105-fs185;B;A;; -- as opposed to actually watching it yourself and forming your own [ pinion, + opinion, ] which I [ haven't, + would ] be much more in favor of forming my own opinion as opposed to following someone else's. /;as opposed to actually watching it yourself and forming your own opinion, which I would  be much more in favor of forming my own opinion as opposed to following someone else's;da198: inform {Contrast:Arg2 da194};;;;;;;;;;
sw01-0105-fs186;B;A;;;pinion, opinion;;;;;;da199: selfCorrection;;;;;
sw01-0105-fs187;B;A;;;haven't, would;;;;;;da200: selfCorrection;;;;;
sw01-0105-fs188;A;B;;Yeah,  /;Yeah;da201: agreement (Fu: da198);;;;;;;;;;
sw01-0105-fs189;A;B;;I guess that's true.  /;I guess that's true;da202: inform (Fu: da198);;;;;;;;;;
sw01-0105-fs190;A;B;;{C But, } one of the ways that I get information is, {F uh, } every day when I log in on the computer I subscribe to [ this, + this ] thing,  /;But;;;;da203: turnTake;;;;;;;
sw01-0105-fs191;A;B;;;one of the ways that I get information is, every day when I log in on the computer I subscribe to this thing;da204: inform;;;;;;;;;;
sw01-0105-fs192;A;B;;;uh;;;;;da205: stalling;;;;;;
sw01-0105-fs193;A;B;;;this, this;;;;;da206: stalling;;;;;;
sw01-0105-fs194;A;B;;it's free inside the company,  /;it's free inside the company;da207: inform;;;;;;;;;;
sw01-0105-fs195;A;B;;it's called INTELLECT  /;it's called INTELLECT;da208: inform;;;;;;;;;;
sw01-0105-fs196;A;B;;[ {C and, } + {C and } ] they basically, {F uh, } type out abstracts which are really literally, - /;and;;;;da209: turnKeep;;;;;;;
sw01-0105-fs197;A;B;;;and, and;;;;;da210: stalling;;;;;;
sw01-0105-fs198;A;B;;;uh;;;;;da211: stalling;;;;;;
sw01-0105-fs199;A;B;;;they basically, type out abstracts which are really literally, -;da212: inform;;;;;;;;;;
sw01-0105-fs200;A;B;;[ I've, + I've ] actually read the actual articles,  /;I've, I've;;;;;da213: stalling;;;;;;
sw01-0105-fs201;A;B;;;I've actually read the actual articles;da214: inform;;;;;;;;;;
sw01-0105-fs202;A;B;;they're pretty g-, -/;they're pretty g;da215: inform;;;;;;;;;;
sw02-0224-fs1;A;B;;Okay. /;Okay;;;;;;;;da1: opening;;;
sw02-0224-fs2;B;A;;All right.  /;All right  ;;da2: autoPositive (Fe: da1);;;;;;;;;
sw02-0224-fs3;B;A;;{F Uh, } do you have any friends that have children? /;Uh,;;;;da3: turnKeep;da4: stalling;;;;;;
sw02-0224-fs4;B;A;;;do you have any friends that have children;da5: propositionalQuestion;;;;;;;;;;
sw02-0224-fs5;A;B;;I do have friends that have children,  /;I do have friends that have children;da6: answer (Fu: da5);;;;;;;;;;
sw02-0224-fs6;A;B;;yes. /;yes ;da7: answer (Fu: da5);;;;;;;;;;
sw02-0224-fs7;B;A;;{C And } what do they say about finding adequate child care? /;And what do they say about finding adequate child care? ;da8: setQuestion;;;;;;;;;;
sw02-0224-fs8;B;A;;I think that may be the key word. /;I think that may be the key word ;da9: inform {Cause:Reason da8};;;;;;;;;;
sw02-0224-fs9;A;B;;I think that's correct.  /;I think that's correct  ;da10: agreement (Fu: da9);;;;;;;;;;
sw02-0224-fs10;A;B;;They're, {F uh, } relatively nonexistent [ from, + {F uh, } from ]  what I hear from my friends.  /;They're, relatively nonexistent from what I hear from my friends;da11: inform;;;;;;;;;;
sw02-0224-fs11;A;B;;;uh;;;;;da12: stalling;;;;;;
sw02-0224-fs12;A;B;;;from uh from;;;;;da13: stalling;;;;;;
sw02-0224-fs13;A;B;;It seems like, {F uh, } even when they have consulted day care centers that are reputable, that are sort of like a chain, if I can use that word --;It seems like even when they have consulted day care centers that are reputable, that are sort of like a chain, if I can use that word, still you have to deal with the people that, happen to be operating it locally ;da14: inform {Elab:Specific da11};;;;;;;;;;
sw02-0224-fs14;A;B;;;uh;;;;;da15: stalling;;;;;;
sw02-0224-fs15;B;A;;Right. /;Right ;;da16: autoPositive (Fe: da14);;;;;;;;;
sw02-0224-fs16;A;B;; -- {F uh, } still you have to deal with the people that, {D you know, } happen to be operating it locally  /;uh;;;;;da17: stalling;;;;;;
sw02-0224-fs17;A;B;;;you know;;;;;da18: stalling;;;;;;
sw02-0224-fs18;A;B;;{C and, }  {F uh, } it's just a matter [ of, + of ] trust, {D you know, }  /;and;;;;da19: turnKeep;;;;;;;
sw02-0224-fs19;A;B;;;uh;;;;;da20: stalling;;;;;;
sw02-0224-fs20;A;B;;;it's just a matter of trust, you know;da21: inform;;;;;;;;;;
sw02-0224-fs21;A;B;;;of, of;;;;;da22: stalling;;;;;;
sw02-0224-fs22;A;B;;I think they feel that these people are, {F um, } under qualified basically and  underpaid,  /;I think they feel that these people are under qualified basically and  underpaid, ;da23: inform;;;;;;;;;;
sw02-0224-fs23;A;B;;;um;;;;;da24: stalling;;;;;;
sw02-0224-fs24;A;B;;{C and } I think that sort of goes hand in hand  /;and;;;;da25: turnKeep;;;;;;;
sw02-0224-fs25;A;B;;;I think that sort of goes hand in hand ;da26: inform {Expand:Expander da23};;;;;;;;;;
sw02-0224-fs26;A;B;;{C so } [ it's, + it's ] difficult for them. /;it's, it's;;;;;da27: stalling;;;;;;
sw02-0224-fs27;A;B;;;so it's difficult for them;da28: inform;;;;;;;;;;
sw02-0224-fs28;B;A;;{D Well, } we certainly found that to be true. /;Well;;;;da29: turnTake;;;;;;;
sw02-0224-fs29;B;A;;;we certainly found that to be true ;da30: agreement (Fu: da28);;;;;;;;;;
sw02-0224-fs30;A;B;;Huh-uh. /;Huh-uh ;;da31: autoPositive (Fe: da30);;;;;;;;;
sw02-0224-fs31;B;A;;{F Uh, } indeed we've, - /;Uh;;;;;da32: stalling;;;;;;
sw02-0224-fs32;B;A;;;indeed we've, - ;;;;;;da33: retraction;;;;;
sw02-0224-fs33;B;A;;our children are now eleven and nine. /;our children are now eleven and nine ;da34: inform;;;;;;;;;;
sw02-0224-fs34;A;B;;Huh-uh. /;Huh-uh ;;da35: autoPositive (Fe: da34);;;;;;;;;
sw02-0224-fs35;B;A;;{C And } we moved away from institutionalized child care --;And;;;;da36: turnKeep;;;;;;;
