Task;autoFeedback;alloFeedback;turnManagement;ownCommunicationManagement;partnerCommunicationManagement;discourseStructuring;socialObligationsManagement
da92: answer (Fu: da91);;;;;;;
;da93: autoPositive (Fe: da92);;da94: turnTake;;;;
da95: checkQuestion;;;da96: turnAssign;;;;
da97: confirm (Fu: da95);;;;;;;
;da99: autoPositive (Fe: da87);;da99: turnTake;;;;
da100: inform;;;;;;;
;;;da101: turnKeep;;;;
da102: inform;;;;;;;
;;;da103: turnKeep;;;;
da104: inform;;;;;;;
;;;da105: turnKeep;;;;
da106: inform;;;;;;;
da107: checkQuestion;;;;;;;
da108: confirm (Fu: da107);;;;;;;
;da109: autoPositive (Fe: da108);;da110: turnTake;;;;
;;;da111: turnKeep;;;;
;;;da112: turnKeep;;;;
;;;da113: turnKeep;;;;
da115: inform;;;;;;;
da116: agreement (Fu: da115);;;;;;;
;;;da117: turnTake;;;;
;;;;;;;
da118: request;;;da119: turnAssign;;;;
da120: acceptRequest (Fu: da118);;;da121: turnAccept;;;;
da122: inform;;;;;;;
;;da123: alloPositive (Fe: da122);;;;;
da124: inform {Cause: Result da122};;;;;;;
;;;;;;da125: interactionStructuring;
;;;;;;da1: opening;
;;;;;;da2: offer;
;;;;;;da3: acceptOffer (Fu: da2);
da4: inform;;;;;;;
;da5: autoPositive (Fe: da4);;;;;;
da6: inform {Expand: Expander da4};;;;;;;
;da7: autoPositive (Fe: da6);;;;;;
da8: inform {Expand: Expander da4};;;;;;;
;;;;;;;
;da10: autoPositive (Fe: da8);;;;;;
da11: setQuestion;;;;;;;
;;;;;;;
da13: answer (Fu: da11);;;;;;;
;da14: autoPositive (Fe: da13);;;;;;
da15: inform {Cause: Result da13};;;;;;;
;da16: autoPositive (Fe: da15);;;;;;
;;;da17: turnKeep;;;;
da19: setQuestion;;;;;;;
da20: answer (Fe: da19);;;;;;;
;da21: autoPositive (Fe: da20);;;;;;
;;;da22: turnTake;;;;
;;;;;;;
;;;;;;;
da24: propositionalQuestion;;;;;;;
;;;;;;;
;;;;da26: selfCorrection;;;
da27: answer (Fu: da24);;;;;;;
;da28: autoPositive (Fe: da27);;;;;;
da29: inform {Cause: Result da27};;;;;;;
;da30: autoPositive (Fe: da29);;;;;;
;;;da31: turnTake;;;;
da32: setQuestion;;;;;;;
da33: confirm (Fu: da32);;;;;;;
;;;;;;da34: interactionStructuring;
;;;;;;;
da36: checkQuestion;;;;;;;
da37: confirm (Fu: da36);;;;;;;
da38: setQuestion;;;;;;;
da39: answer (Fu: da38);;;;;;;
;;;;;;da40: interactionStructuring;
;;;;;;da41: interactionStructuring;
