Markables;Sender;Addressee;other Ps;Turn transcription;FS text;Task;autoFeedback;alloFeedback;turnManagement;timeManagement;ownCommunicationManagement;partnerCommunicationManagement;discourseStructuring;socialObligationsManagement;other;Comments;
fsp1ALFCV0;p1;p2;;mhm alright alright uh uh so let's start what is your first question ; mhm ;;;dap1ALF0: alloPositive (Fe:fsp1ALFFB0);;;;;;;;;
"fsp1AUFCV6;fsp1DISCV4";p1;p2;;; alright ;;dap1AUF6: autoPositive (Fe:fsp1AUFFB6);;;;;;dap1DIS4: interactionStructuring;;;;
fsp1TUMCV11;p1;p2;;; alright uh ;;;;dap1TUM11: turnKeep;;;;;;;;
fsp1TIMCV9;p1;p2;;; uh ;;;;;dap1TIM9: stalling;;;;;;;
fsp1DISCV5;p1;p2;;; so lets start ;;;;;;;;dap1DIS5: suggest;;;;
"fsp1TSKCV0;fsp1TSMCV20";p1;p2;;; what is your first question ;dap1TSK0: setQuestion;;;;;;;;;dap1TSM20:taskManagement:request;;
"fsp2TSKCV0;fsp2TSMCV6";p2;p1;;are you still alive ; are you still alive ;dap2TSK0: propositionalQuestion;;;;;;;;;dap2TSM6:taskManagement:addressRequest (Fu:dap1TSM20);;
fsp1TSKCV1;p1;p2;;no i am not ; no i am not ;dap1TSK1: propositionalAnswer (Fu:dap2TSK0);;;;;;;;;;;
"fsp2AUFCV9;fsp2TUMCV6";p2;p1;;mhm uhm ; mhm ;;dap2AUF9: autoPositive (Fe:fsp2AUFFB9);;dap2TUM6: turnTake;;;;;;;;
"fsp2TUMCV7;fsp2TIMCV4";p2;p1;;; uhm ;;;;dap2TUM7: turnKeep;dap2TIM4: stalling;;;;;;;
"fsp1TUMCV12;fsp1TIMCV10";p1;p2;;uh ; uh ;;;;dap1TUM12: turnTake;dap1TIM10: stalling;;;;;;;
fsp2TSKCV1;p2;p1;;are you from germany ; are you from germany ;dap2TSK1: propositionalQuestion;;;;;;;;;;;
fsp1TSKCV2;p1;p2;;no i am not from germany ; no i am not from germany ;dap1TSK2: propositionalAnswer (Fu:dap2TSK1);;;;;;;;;;;
"fsp2TUMCV8;fsp2TIMCV5";p2;p1;;uhm are you from america ; uhm ;;;;dap2TUM8: turnTake;dap2TIM5: stalling;;;;;;;
fsp2TSKCV2;p2;p1;;; are you from america ;dap2TSK2: propositionalQuestion;;;;;;;;;;;
fsp1TSKCV3;p1;p2;;no i am not from america ; no i am not from america ;dap1TSK3: propositionalAnswer (Fu:dap2TSK2);;;;;;;;;;;
"fsp2TUMCV9;fsp2TIMCV6";p2;p1;;uh what were you doing when you were alive ; uh ;;;;dap2TUM9: turnTake;dap2TIM6: stalling;;;;;;;
fsp2TSKCV3;p2;p1;;; what were you doing when you were alive ;dap2TSK3: setQuestion;;;;;;;;;;;
"fsp1TUMCV13;fsp1TIMCV11";p1;p2;;ehm let me think for a minute uhm i was i was a princess i was when i was alive ; ehm ;;;;dap1TUM13: turnTake;dap1TIM11: stalling;;;;;;;
fsp1TIMCV12;p1;p2;;; let me think for a minute ;;;;;dap1TIM12: pausing;;;;;;;
"fsp1TUMCV14;fsp1TIMCV13";p1;p2;;; uhm ;;;;dap1TUM14: turnKeep;dap1TIM13: stalling;;;;;;;
fsp1TSKCV4;p1;p2;;; i was ;dap1TSK4: setAnswer;;;;;;;;;;;
fsp1TSKCV5;p1;p2;;; i was a princess ;dap1TSK5: setAnswer (Fu:dap2TSK3);;;;;;;;;;;
fsp1OCMCV3;p1;p2;;; i was ;;;;;;dap1OCM3: selfCorrection (Fu:dap1281);;;;;;
fsp1TSKCV6;p1;p2;;; when i was alive ;dap1TSK6: setAnswer (Fu:dap1TSK5) {elaboration da};;;;;;;;;;;
fsp2TSKCV4;p2;p1;;and where are you from ; and where are you from ;dap2TSK4: setQuestion;;;;;;;;;;;
fsp1TSKCV7;p1;p2;;i am from england ; i am from england ;dap1TSK7: setAnswer (Fu:dap2TSK4);;;;;;;;;;;
fsp2AUFCV10;p2;p1;;okay uhm uh where did you die ; okay ;;dap2AUF10: autoPositive (Fe:fsp2AUFFB10);;;;;;;;;;
"fsp2TUMCV10;fsp2TIMCV7";p2;p1;;; uhm ;;;;dap2TUM10: turnKeep;dap2TIM7: stalling;;;;;;;
"fsp2TUMCV11;fsp2TIMCV8";p2;p1;;; uh ;;;;dap2TUM11: turnKeep;dap2TIM8: stalling;;;;;;;
fsp2TSKCV5;p2;p1;;; where did you die ;dap2TSK5: setQuestion;;;;;;;;;;;
"fsp1TUMCV15;fsp1TIMCV14";p1;p2;;just a second uhm i died in paris ; just a second ;;;;dap1TUM15: turnKeep;dap1TIM14: pausing;;;;;;;
"fsp1TUMCV16;fsp1TIMCV15";p1;p2;;; uhm ;;;;dap1TUM16: turnKeep;dap1TIM15: stalling;;;;;;;
fsp1TSKCV8;p1;p2;;; i died in paris ;dap1TSK8: setAnswer (Fu:dap2TSK5);;;;;;;;;;;
fsp2AUFCV11;p2;p1;;mhm uhm uhm you are princess diana uh ; mhm ;;dap2AUF11: autoPositive (Fe:fsp2AUFFB11);;;;;;;;;;
"fsp2TUMCV12;fsp2TIMCV9";p2;p1;;; uhm ;;;;dap2TUM12: turnKeep;dap2TIM9: stalling;;;;;;;
"fsp2TUMCV13;fsp2TIMCV10";p2;p1;;; uhm ;;;;dap2TUM13: turnKeep;dap2TIM10: stalling;;;;;;;
fsp2TSKCV6;p2;p1;;; you are princess diana ;dap2TSK6: guess;;;;;;;;;;;
"fsp2TUMCV14;fsp2TIMCV11";p2;p1;;; uh ;;;;dap2TUM14: turnKeep;dap2TIM11: stalling;;;;;;;
fsp1TSKCV9;p1;p2;;yes that is the correct answer good job ; yes ;dap1TSK9: confirm (Fu:dap2TSK6);;;;;;;;;;;
fsp1TSKCV10;p1;p2;;; that is the correct answer ;dap1TSK10: inform {elaboration dap1TSK9};;;;;;;;;;;
"fsp1ALFCV1;fsp1DISCV6;fsp1SOMCV4";p1;p2;;; good job ;;;dap1ALF1: alloPositive (Fe:fsp1ALFFB1);;;;;dap1DIS6: closing;dap1SOM4: congratulation;;;
"fsp2AUFCV12;fsp2DISCV1";p2;p1;;okay ; okay ;;dap2AUF12: autoPositive (Fe:fsp2AUFFB12);;;;;;dap2DIS1: closing;;;;
