Markables;Sender;Addressee;other Ps;Turn transcription;FS text;Task;autoFeedback;alloFeedback;turnManagement;timeManagement;ownCommunicationManagement;partnerCommunicationManagement;discourseStructuring;socialObligationsManagement;Comments
TRAINS2-fs72;S;U;;which way do we wanna go;which way do we wanna go;da82: setQuestion;;;;;;;;;
TRAINS2-fs73;U;S;;uh to Dansville to Corning to Elmira;uh;;;;da83: turnTake;da84: stalling;;;;;
TRAINS2-fs74;U;S;;;to Dansville to Corning to Elmira;da85: answer (Fu: da82);;;;;;;;;
TRAINS2-fs75;S;U;;okay let's see four p.m. four p.m. okay we'll get there by seven p.m.;okay;;da86: autoPositive (Fe: da85);;;da87: stalling;;;;;
TRAINS2-fs76;S;U;;;let's see;;;;da88: turnKeep;da89: pausing;;;;;
TRAINS2-fs77;S;U;;;four p.m.;da90: inform;;;;;;;;;
TRAINS2-fs78;S;U;;;four p.m.;da91: inform;;;;da92: stalling;;;;;
TRAINS2-fs79;S;U;;;okay;;;;da93: turnKeep;;;;;;
TRAINS2-fs80;S;U;;;we'll get there by seven p.m.;da94: inform;;;;;;;;;
TRAINS2-fs81;U;S;;okay great I am now finished;okay great;;;;;;;;da95: interactionStructuring [happiness];;
TRAINS2-fs82;U;S;;;I am now finished;;;;;;;;da96: inform;;
