Markables;Sender;Addressee;other Ps;Turn transcription;FS text;Task;autoFeedback;alloFeedback;turnManagement;timeManagement;ownCommunicationManagement;partnerCommunicationManagement;discourseStructuring;socialObligationsManagement;other;Comments;
"fsp2TUMCV5;fsp2TIMCV5";p2;p1;;uhm where are you from ; uhm ;;;;dap2TUM5: turnTake;dap2TIM5: stalling;;;;;;;
fsp2TSKCV1;p2;p1;;; where are you from ;dap2TSK1: setQuestion;;;;;;;;;;;
fsp1TSKCV2;p1;p2;;i am from the united states ; i am from the united states ;dap1TSK2: setAnswer (Fu:dap2TSK1);;;;;;;;;;;
fsp2TSKCV2;p2;p1;;and you're still alive and ; and youre still alive ;dap2TSK2: propositionalQuestion;;;;;;;;;;;
"fsp2TUMCV6;fsp2TIMCV6";p2;p1;;; and ;;;;dap2TUM6: turnTake;dap2TIM6: stalling;;;;;;;
fsp1TSKCV3;p1;p2;;yes i am still alive ; yes i am still alive ;dap1TSK3: propositionalAnswer (Fu:dap2TSK2);;;;;;;;;;;
fsp2TSKCV3;p2;p1;;and how old are you and ; and how old are you ;dap2TSK3: setQuestion;;;;;;;;;;;
"fsp2TUMCV7;fsp2TIMCV7";p2;p1;;; and ;;;;dap2TUM7: turnTake;dap2TIM7: stalling;;;;;;;
fsp1TSKCV4;p1;p2;;i am thirty three thirty thirty three years old ; i am thirty three ;dap1TSK4: setAnswer (Fu:dap2TSK3);;;;;;;;;;;
fsp1OCMCV0;p1;p2;;; thirty ;;;;;;dap1OCM0: selfCorrection (Fe:fsp1OCMFB0);;;;;;
fsp1TSKCV5;p1;p2;;; thirty three years old ;dap1TSK5: setAnswer (Fu:dap2TSK3) {elaboration dap1TSK4};;;;;;;;;;;
fsp2AUFCV0;p2;p1;;yeah uhm and what are you doing and ; yeah ;;dap2AUF0: autoPositive (Fe:fsp2AUFFB0);;;;;;;;;;
"fsp2TUMCV8;fsp2TIMCV8";p2;p1;;; uhm ;;;;dap2TUM8: turnKeep;dap2TIM8: stalling;;;;;;;
fsp2TSKCV4;p2;p1;;; and what are you doing ;dap2TSK4: setQuestion;;;;;;;;;;;
"fsp2TUMCV9;fsp2TIMCV9";p2;p1;;; and ;;;;dap2TUM9: turnTake;dap2TIM9: stalling;;;;;;;
fsp1TSKCV6;p1;p2;;i am a professional tennis player ; i am a professional tennis player ;dap1TSK6: setAnswer (Fu:dap2TSK4);;;;;;;;;;;
"fsp2AUFCV1;fsp2TUMCV10";p2;p1;;okay does your first name start s with an with an ; okay ;;dap2AUF1: autoPositive (Fe:fsp2AUFFB1);;dap2TUM10: turnTake;;;;;;;;
fsp2TSKCV5;p2;p1;;; does your first name start with an s ;dap2TSK5: propositionalQuestion;;;;;;;;;;;
fsp2OCMCV0;p2;p1;;; with an ;;;;;;dap2OCM0: selfCorrection (Fe:fsp2OCMFB0);;;;;;
fsp1AUFCV2;p1;p2;;i'm not sure if i can answer that question no i can't answer that question ; im not sure if i can answer that question ;;dap1AUF2: inform [certain] (Fe:fsp1AUFFB2);;;;;;;;;;
"fsp1TSKCV7;fsp1AUFCV3";p1;p2;;; no i cant answer that question ;dap1TSK7: answer (Fu:dap2TSK5);dap1AUF3: inform [uncertain] (Fe:fsp1AUFFB3) {elaboration dap1AUF2};;;;;;;;;;
fsp2AUFCV2;p2;p1;;okay uhm mmh uh are you successful in tennis uh ; okay ;;dap2AUF2: autoPositive (Fe:fsp2AUFFB2);;;;;;;;;;
"fsp2TUMCV11;fsp2TIMCV10";p2;p1;;; uhm ;;;;dap2TUM11: turnKeep;dap2TIM10: stalling;;;;;;;
"fsp2TUMCV12;fsp2TIMCV11";p2;p1;;; mmh ;;;;dap2TUM12: turnKeep;dap2TIM11: stalling;;;;;;;
"fsp2TUMCV13;fsp2TIMCV12";p2;p1;;; uh ;;;;dap2TUM13: turnKeep;dap2TIM12: stalling;;;;;;;
fsp2TSKCV6;p2;p1;;; are you successful in tennis ;dap2TSK6: propositionalQuestion;;;;;;;;;;;
"fsp2TUMCV14;fsp2TIMCV13";p2;p1;;; uh ;;;;dap2TUM14: turnKeep;dap2TIM13: stalling;;;;;;;
fsp1TSKCV8;p1;p2;;yes I am very successful ; yes I am very successful ;dap1TSK8: propositionalAnswer (Fu:dap2TSK6);;;;;;;;;;;
fsp2TSKCV7;p2;p1;;are you serena williams ; are you serena williams ;dap2TSK7: guess;;;;;;;;;;;
fsp1TSKCV9;p1;p2;;no very close but that is not the correct answer i'm venus williams ; no ;dap1TSK9: disconfirm (Fu:dap2TSK7);;;;;;;;;;;
"fsp1TSKCV10;fsp1ALFCV2";p1;p2;;; very close ;dap1TSK10: inform;;dap1ALF2: alloPositive (Fe:fsp1ALFFB2);;;;;;;;;
fsp1TSKCV11;p1;p2;;; but that is not the correct answer ;dap1TSK11: inform {contrast dap1TSK10};;;;;;;;;;;
fsp1TSKCV12;p1;p2;;; im venus williams ;dap1TSK12: inform;;;;;;;;;;;
fsp2AUFCV3;p2;p1;;ah okay ; ah okay ;;dap2AUF3: autoPositive (Fe:fsp2AUFFB3);;;;;;;;;;
fsp1ALFCV3;p1;p2;;very close though very good try ; very close though ;;;dap1ALF3: alloPositive (Fe:fsp1ALFFB3);;;;;;;;;
fsp1SOMCV1;p1;p2;;; very good try ;;;;;;;;;dap1SOM1: congratulation;;;
fsp2AUFCV4;p2;p1;;okay thank you ; okay ;;dap2AUF4: autoPositive (Fe:fsp2AUFFB4);;;;;;;;;;
fsp2SOMCV1;p2;p1;;; thank you ;;;;;;;;;dap2SOM1: thanking (Fu:dap1SOM1);;;
"fsp1AUFCV4;fsp1DISCV4";p1;p2;;alright ; alright ;;dap1AUF4: autoPositive (Fe:fsp1AUFFB4);;;;;;dap1DIS4: closing;;;;
