Markables;Sender;Addressee;other Ps;Turn transcription;FS text;Task;autoFeedback;alloFeedback;turnManagement;timeManagement;ownCommunicationManagement;partnerCommunicationManagement;discourseStructuring;socialObligationsManagement;other;Comments;
fsp1AUFCV18;p1;p2;;right okay so avoid the saloon bar ; right okay ;;dap1AUF18: autoPositive (Fe:fsp1AUFFB18);;;;;;;;;;
fsp1TSKCV65;p1;p2;;; so avoid the saloon bar ;dap1TSK65: instruct;;;;;;;;;;;
fsp2TSKCV32;p2;p1;;right ; right ;dap2TSK32: acceptRequest (Fu:dap1TSK65);;;;;;;;;;;
fsp1TSKCV66;p1;p2;;and then ehm right then just straight down to the right of the buffalo ehm ; and then ;dap1TSK66: instruct;;;;;;;;;;;
"fsp1TUMCV16;fsp1TIMCV6";p1;p2;;; ehm ;;;;dap1TUM16: turnKeep;dap1TIM6: stalling;;;;;;;
"fsp1AUFCV19;fsp1TUMCV17";p1;p2;;; right ;;dap1AUF19: autoPositive;;dap1TUM17: turnTake;;;;;;;;
fsp1TSKCV67;p1;p2;;; then just straight down to the right of the buffalo ;dap1TSK67: instruct;;;;;;;;;;;
"fsp1TUMCV18;fsp1TIMCV7";p1;p2;;; ehm ;;;;dap1TUM18: turnKeep;dap1TIM7: stalling;;;;;;;
fsp2AUFCV7;p2;p1;;to the right ; to the right ;;dap2AUF7: autoPositive (Fe:fsp2AUFFB7);;;;;;;;;;
fsp1TSKCV68;p1;p2;;so that you're on the right of the buffalo you're on ; so that youre on the right of the buffalo ;dap1TSK68: instruct {elaboration dap1TSK67};;;;;;;;;;;
fsp1OCMCV5;p1;p2;;; youre on ;;;;;;dap1OCM5: selfCorrection (Fe:fsp1OCMFB5);;;;;;
fsp2TSKCV33;p2;p1;;right ; right ;dap2TSK33: acceptRequest (Fu:dap1TSK67);;;;;;;;;;;
"fsp1AUFCV20;fsp1ALFCV3;fsp1TUMCV19";p1;p2;;okay and go underneath the buffalo now do you have a cattle ranch ; okay ;;dap1AUF20: autoPositive (Fe:fsp1AUFFB20);dap1ALF3: alloPositive (Fe:fsp1ALFFB3);dap1TUM19: turnTake;;;;;;;;
fsp1TSKCV69;p1;p2;;; and go underneath the buffalo ;dap1TSK69: instruct;;;;;;;;;;;
fsp1TSKCV70;p1;p2;;; now do you have a cattle ranch ;dap1TSK70: propositionalQuestion;;;;;;;;;;;
fsp2TSKCV34;p2;p1;;no ; no ;dap2TSK34: answer (Fu:dap1TSK70);;;;;;;;;;;
"fsp1TUMCV20;fsp1TIMCV8";p1;p2;;ehm do you have a fort ; ehm ;;;;dap1TUM20: turnTake;dap1TIM8: stalling;;;;;;;
fsp1TSKCV71;p1;p2;;; do you have a fort ;dap1TSK71: propositionalQuestion;;;;;;;;;;;
fsp2TSKCV35;p2;p1;;mmhmm ; mmhmm ;dap2TSK35: answer (Fu:dap1TSK71);;;;;;;;;;;
fsp1TSKCV72;p1;p2;;so you're go from the buffalo to the fort but you've got to avoid the cattle ranch on the way and you'll have to go up and over the top of the cattle ranch ; so youre go from the buffalo to the fort ;dap1TSK72: instruct;;;;;;;;;;;
fsp1TSKCV73;p1;p2;;; but youve got to avoid the cattle ranch on the way ;dap1TSK73: instruct {contrast dap1TSK72};;;;;;;;;;;
fsp1TSKCV74;p1;p2;;; and youll have to go up and over the top of the cattle ranch ;dap1TSK74: instruct {elaboration dap1TSK73};;;;;;;;;;;
fsp2TSKCV36;p2;p1;;right ; right ;dap2TSK36: acceptRequest (Fu:dap1TSK72);;;;;;;;;;;
fsp1TSKCV75;p1;p2;;which on my map is halfway between the buffalo and the fort okay ; which on my map is halfway between the buffalo and the fort ;dap1TSK75: instruct {explain dap1TSK74};;;;;;;;;;;
fsp1ALFCV4;p1;p2;;; okay ;;;dap1ALF4: feedbackElicitation (Fe:fsp1ALFFB4);;;;;;;;;
fsp2AUFCV8;p2;p1;;right that on the level between the fort ; right ;;dap2AUF8: autoPositive (Fu:dap1ALF4);;;;;;;;;;
fsp2TSKCV37;p2;p1;;; that on the level between the fort ;dap2TSK37: checkQuestion;;;;;;;;;;;
"fsp1TUMCV21;fsp1TIMCV9";p1;p2;;ehm ; ehm ;;;;dap1TUM21: turnTake;dap1TIM9: stalling;;;;;;;
fsp2TSKCV38;p2;p1;;mm ; mm ;dap2TSK38: checkQuestion;;;;;;;;;;;
fsp1TSKCV76;p1;p2;;it's almost on level with the fort but it's slightly higher than the fort ; its almost on level with the fort ;dap1TSK76: confirm (Fu:dap2TSK37);;;;;;;;;;;
fsp1TSKCV77;p1;p2;;; but its slightly higher than the fort ;dap1TSK77: correction (Fu:dap1TSK76) {contrast dap1TSK76};;;;;;;;;;;
fsp2TSKCV39;p2;p1;;so ; so ;dap2TSK39: setQuestion;;;;;;;;;;;
fsp1TSKCV78;p1;p2;;so you need to go up on a sort of hill go up ; so you need to go up on a sort of hill ;dap1TSK78: instruct (Fu:dap2TSK39);;;;;;;;;;;
fsp1OCMCV6;p1;p2;;; go up ;;;;;;dap1OCM6: selfCorrection (Fe:fsp1OCMFB6);;;;;;
fsp2TSKCV40;p2;p1;;mmhmm ; mmhmm ;dap2TSK40: acceptRequest (Fu:dap1TSK78);;;;;;;;;;;
fsp1TSKCV79;p1;p2;;over the cattle ranch underneath buffalo or over the cattle ranch ; over the cattle ranch underneath buffalo or over the cattle ranch ;dap1TSK79: instruct {explain dap1TSK78};;;;;;;;;;;
"fsp2TSKCV41;fsp2AUFCV9";p2;p1;;right ; right ;dap2TSK41: acceptRequest (Fu:dap1TSK78);dap2AUF9: autoPositive (Fe:fsp2AUFFB9);;;;;;;;;;
fsp1TSKCV80;p1;p2;;then underneath the fort ; then underneath the fort ;dap1TSK80: instruct;;;;;;;;;;;
fsp2AUFCV10;p2;p1;;under the fort ; under the fort ;;dap2AUF10: checkQuestion;;;;;;;;;;
fsp1ALFCV5;p1;p2;;underneath the fort uh-huh and come out at the left-hand side of the fort and finishing ehm not beside but on the same level as the the carved wooden pole the base of the carved wooden pole wooden ; underneath the fort uh-huh ;;;dap1ALF5: confirm (Fu:dap2AUF10);;;;;;;;;
fsp1TSKCV81;p1;p2;;; and come out at the left-hand side of the fort ;dap1TSK81: instruct;;;;;;;;;;;
fsp1DISCV1;p1;p2;;; and finishing ;;;;;;;;dap1DIS1: instruct;;;;
"fsp1TUMCV22;fsp1TIMCV10";p1;p2;;; ehm ;;;;dap1TUM22: turnKeep;dap1TIM10: stalling;;;;;;;
fsp1TSKCV82;p1;p2;;; not beside but on the same level as the the carved wooden pole ;dap1TSK82: instruct {contrast dap1DIS1};;;;;;;;;;;
fsp1TSKCV83;p1;p2;;; the base of the carved wooden pole ;dap1TSK83: instruct {elaboration dap1TSK82};;;;;;;;;;;
fsp1OCMCV7;p1;p2;;; wooden ;;;;;;dap1OCM7: selfCorrection (Fe:fsp1OCMFB7);;;;;;
fsp2TSKCV42;p2;p1;;right ; right ;dap2TSK42: acceptRequest (Fu:dap1DIS1);;;;;;;;;;;
"fsp1AUFCV21;fsp1ALFCV6;fsp1TUMCV23";p1;p2;;okay that's you finished ; okay ;;dap1AUF21: autoPositive (Fe:fsp1AUFFB21);dap1ALF6: alloPositive (Fe:fsp1ALFFB6);dap1TUM23: turnTake;;;;;;;;
fsp1DISCV2;p1;p2;;; thats you finished ;;;;;;;;dap1DIS2: inform;;;;
"fsp2AUFCV11;fsp2DISCV0";p2;p1;;okay ; okay ;;dap2AUF11: autoPositive (Fe:fsp2AUFFB11);;;;;;dap2DIS0: interactionStructuring;;;;
