Markables;Sender;Addressee;other Ps;Turn transcription;FS text;Task;autoFeedback;alloFeedback;turnManagement;timeManagement;ownCommunicationManagement;partnerCommunicationManagement;discourseStructuring;socialObligationsManagement;other;Comments;
fsp2AUFCV14;p2;p1;;whoa whoa wait a minute right i'm coming down by the pine forest i'm going right straight down ; whoa whoa ;;dap2AUF14: autoNegative (Fe:fsp2AUFFB14);;;;;;;;;;
fsp2TIMCV1;p2;p1;;; wait a minute ;;;;;dap2TIM1: pausing;;;;;;;
fsp2AUFCV15;p2;p1;;; right ;;dap2AUF15: autoPositive (Fe:fsp2AUFFB15);;;;;;;;;;
fsp2TSKCV20;p2;p1;;; im coming down by the pine forest ;dap2TSK20: inform;;;;;;;;;;;
fsp2TSKCV21;p2;p1;;; im going right straight down ;dap2TSK21: inform {restatement dap2TSK20};;;;;;;;;;;
fsp1TSKCV24;p1;p2;;right ; right ;dap1TSK24: agreement (Fu:dap2TSK20);;;;;;;;;;;
fsp2OCMCV0;p2;p1;;straight down and then you s-- ; straight down ;;;;;;dap2OCM0: selfCorrection (Fe:fsp2OCMFB0);;;;;;
fsp2TSKCV22;p2;p1;;; and then you s-- ;dap2TSK22: checkQuestion;;;;;;;;;;;
fsp1TSKCV25;p1;p2;;'til you're not 'til you're at the top of the bakery ; til youre not ;dap1TSK25: inform;;;;;;;;;;;
fsp1TSKCV26;p1;p2;;; til youre at the top of the bakery ;dap1TSK26: inform {elaboration dap1TSK23};;;;;;;;;;;
fsp2AUFCV16;p2;p1;;ah right ; ah right ;;dap2AUF16: autoPositive (Fe:fsp2AUFFB16);;;;;;;;;;
fsp1ALFCV9;p1;p2;;right ; right ;;;dap1ALF9: alloPositive (Fe:fsp1ALFFB9);;;;;;;;;
fsp2SOMCV1;p2;p1;;sorry right okay ; sorry ;;;;;;;;;dap2SOM1: apology;;;
fsp2AUFCV17;p2;p1;;; right ;;dap2AUF17: autoPositive (Fe:fsp2AUFFB17);;;;;;;;;;
fsp2TSKCV23;p2;p1;;; okay ;dap2TSK23: acceptRequest (Fu:dap1TSK23);;;;;;;;;;;
fsp1TSKCV27;p1;p2;;and loop round a bit until you're underneath it right and then west ; and loop round a bit until youre underneath it ;dap1TSK27: instruct;;;;;;;;;;;
"fsp1AUFCV7;fsp1TUMCV6";p1;p2;;; right ;;dap1AUF7: autoPositive;;dap1TUM6: turnKeep;;;;;;;;
fsp1TSKCV28;p1;p2;;; and then west ;dap1TSK28: instruct {asynchrony dap1TSK27};;;;;;;;;;;
fsp2AUFCV18;p2;p1;;right okay right got that ; right ;;dap2AUF18: autoPositive (Fe:fsp2AUFFB18);;;;;;;;;;
fsp2TSKCV24;p2;p1;;; okay right got that ;dap2TSK24: acceptRequest (Fu:dap1TSK27);;;;;;;;;;;
fsp1AUFCV8;p1;p2;;right and then down south ; right ;;dap1AUF8: autoPositive (Fe:fsp1AUFFB8);;;;;;;;;;
fsp1TSKCV29;p1;p2;;; and then down south ;dap1TSK29: instruct;;;;;;;;;;;
fsp2TSKCV25;p2;p1;;okay ; okay ;dap2TSK25: acceptRequest (Fu:dap1TSK29);;;;;;;;;;;
fsp1TSKCV30;p1;p2;;and there's a crane bay ; and theres a crane bay ;dap1TSK30: inform;;;;;;;;;;;
fsp2TSKCV26;p2;p1;;yeah that's it ; yeah ;dap2TSK26: agreement (Fu:dap1TSK30);;;;;;;;;;;
fsp2TSKCV27;p2;p1;;; thats it ;dap2TSK27: checkQuestion;;;;;;;;;;;
fsp1TSKCV31;p1;p2;;right ; right ;dap1TSK31: confirm (Fu:dap2TSK27);;;;;;;;;;;
fsp2AUFCV19;p2;p1;;uh-huh ; uh-huh ;;dap2AUF19: autoPositive (Fe:fsp2AUFFB19);;;;;;;;;;
fsp1TSKCV32;p1;p2;;and it's got a can you curve follow the curve of crane bay ; and its got a ;dap1TSK32: inform {elaboration dap1TSK30};;;;;;;;;;;
fsp1TSKCV33;p1;p2;;; can you curve ;dap1TSK33: propositionalQuestion;;;;;;;;;;;
fsp1TSKCV34;p1;p2;;; follow the curve of crane bay ;dap1TSK34: instruct {restatement dap1TSK33};;;;;;;;;;;
fsp2TSKCV28;p2;p1;;yeah right ; yeah ;dap2TSK28: answer (Fu:dap1TSK33);;;;;;;;;;;
fsp2TSKCV29;p2;p1;;; right ;dap2TSK29: acceptRequest (Fu:dap1TSK34);;;;;;;;;;;
fsp1TSKCV35;p1;p2;;so you're going west ; so youre going west ;dap1TSK35: checkQuestion;;;;;;;;;;;
fsp2TSKCV30;p2;p1;;uh-huh yep ; uh-huh ;dap2TSK30: acceptRequest (Fu:dap1TSK34);;;;;;;;;;;
fsp2TSKCV31;p2;p1;;; yep ;dap2TSK31: confirm (Fu:dap1TSK35);;;;;;;;;;;
"fsp1AUFCV9;fsp1ALFCV10;fsp1TUMCV7";p1;p2;;right and then you're going southwest um ; right ;;dap1AUF9: autoPositive (Fe:fsp1AUFFB9);dap1ALF10: alloPositive (Fe:fsp1ALFFB10);dap1TUM7: turnTake;;;;;;;;
fsp1TSKCV36;p1;p2;;; and then youre going southwest ;dap1TSK36: instruct;;;;;;;;;;;
"fsp1TUMCV8;fsp1TIMCV2";p1;p2;;; um ;;;;dap1TUM8: turnKeep;dap1TIM2: stalling;;;;;;;
fsp2TSKCV32;p2;p1;;mmhmm ; mmhmm ;dap2TSK32: acceptRequest (Fu:dap1TSK36);;;;;;;;;;;
fsp1TSKCV37;p1;p2;;between the wheatfields and the warehouse between the two of them ; between the wheatfields and the warehouse ;dap1TSK37: inform {elaboration dap1TSK36};;;;;;;;;;;
fsp1TSKCV38;p1;p2;;; between the two of them ;dap1TSK38: inform {restatement dap1TSK37};;;;;;;;;;;
fsp2AUFCV20;p2;p1;;right okay ; right ;;dap2AUF20: autoPositive (Fe:fsp2AUFFB20);;;;;;;;;;
fsp2TSKCV33;p2;p1;;; okay ;dap2TSK33: acceptRequest (Fu:dap1TSK36);;;;;;;;;;;
fsp1AUFCV10;p1;p2;;right you're going ; right ;;dap1AUF10: autoPositive (Fe:fsp1AUFFB10);;;;;;;;;;
fsp1TSKCV39;p1;p2;;; youre going ;dap1TSK39: instruct;;;;;;;;;;;
"fsp2AUFCV21;fsp2TUMCV2";p2;p1;;yep ; yep ;;dap2AUF21: autoPositive (Fe:fsp2AUFFB21);;dap2TUM2: turnAssign;;;;;;;;
fsp1TSKCV40;p1;p2;;and then like go west ; and then like go west ;dap1TSK40: instruct;;;;;;;;;;;
fsp2TSKCV34;p2;p1;;right ; right ;dap2TSK34: acceptRequest (Fu:dap1TSK40);;;;;;;;;;;
fsp1TSKCV41;p1;p2;;so you're between them between them ; so youre between them ;dap1TSK41: checkQuestion;;;;;;;;;;;
fsp1OCMCV0;p1;p2;;; between them ;;;;;;dap1OCM0: selfCorrection (Fe:fsp1OCMFB0);;;;;;
"fsp2TSKCV35;fsp2ALFCV1";p2;p1;;between them ; between them ;dap2TSK35: confirm (Fu:dap1TSK41);;dap2ALF1: alloPositive (Fe:fsp2ALFFB1);;;;;;;;;
"fsp1TUMCV9;fsp1TIMCV3";p1;p2;;um ; um ;;;;dap1TUM9: turnKeep;dap1TIM3: stalling;;;;;;;
fsp2AUFCV22;p2;p1;;right ; right ;;dap2AUF22: autoPositive (Fe:fsp2AUFFB22);;;;;;;;;;
"fsp1AUFCV11;fsp1ALFCV11";p1;p2;;mmhmm ; mmhmm ;;dap1AUF11: autoPositive (Fe:fsp1AUFFB11);dap1ALF11: alloPositive (Fe:fsp1ALFFB11);;;;;;;;;
fsp2TSKCV36;p2;p1;;okay ; okay ;dap2TSK36: acceptRequest (Fu:dap1TSK40);;;;;;;;;;;
fsp1TSKCV42;p1;p2;;and then southwest towards the edge of the map ; and then southwest towards the edge of the map ;dap1TSK42: instruct;;;;;;;;;;;
fsp2AUFCV23;p2;p1;;right okay ; right ;;dap2AUF23: autoPositive (Fe:fsp2AUFFB23);;;;;;;;;;
fsp2TSKCV37;p2;p1;;; okay ;dap2TSK37: acceptRequest (Fu:dap1TSK42);;;;;;;;;;;
"fsp1AUFCV12;fsp1ALFCV12";p1;p2;;right and then south ; right ;;dap1AUF12: autoPositive (Fe:fsp1AUFFB12);dap1ALF12: alloPositive (Fe:fsp1ALFFB12);;;;;;;;;
fsp1TSKCV43;p1;p2;;; and then south ;dap1TSK43: instruct;;;;;;;;;;;
fsp2AUFCV24;p2;p1;;mm right ; mm ;;dap2AUF24: autoPositive (Fe:fsp2AUFFB24);;;;;;;;;;
fsp2TSKCV38;p2;p1;;; right ;dap2TSK38: acceptRequest (Fu:dap1TSK43);;;;;;;;;;;
fsp1TSKCV44;p1;p2;;and then you're going east um you come to the lighthouse ; and then youre going east ;dap1TSK44: instruct;;;;;;;;;;;
"fsp1TUMCV10;fsp1TIMCV4";p1;p2;;; um ;;;;dap1TUM10: turnKeep;dap1TIM4: stalling;;;;;;;
fsp1TSKCV45;p1;p2;;; you come to the lighthouse ;dap1TSK45: instruct {cause dap1TSK44};;;;;;;;;;;
fsp2TSKCV39;p2;p1;;so right down past the caves ; so right down past the caves ;dap2TSK39: checkQuestion;;;;;;;;;;;
fsp1TSKCV46;p1;p2;;until you then go east until you get to the lighthouse ; until you ;dap1TSK46: instruct {elaboration dap1TSK44};;;;;;;;;;;
fsp1TSKCV47;p1;p2;;; then go east until you get to the lighthouse ;dap1TSK47: instruct {restatement dap1TSK44};;;;;;;;;;;
fsp2AUFCV25;p2;p1;;right okay ; right ;;dap2AUF25: autoPositive (Fe:fsp2AUFFB25);;;;;;;;;;
fsp2TSKCV40;p2;p1;;; okay ;dap2TSK40: acceptRequest (Fu:dap1TSK47);;;;;;;;;;;
"fsp1AUFCV13;fsp1ALFCV13";p1;p2;;right that's the end ; right ;;dap1AUF13: autoPositive (Fe:fsp1AUFFB13);dap1ALF13: alloPositive (Fe:fsp1ALFFB13);;;;;;;;;
fsp1DISCV1;p1;p2;;; thats the end ;;;;;;;;dap1DIS1: inform;;;;
fsp2TSKCV41;p2;p1;;above or below laugh ; above or below ;dap2TSK41: choiceQuestion;;;;;;;;;;;
fsp2AUFCV26;p2;p1;;; laugh ;;dap2AUF26: autoPositive [positive];;;;;;;;;;
fsp1TSKCV48;p1;p2;;at the side laugh ; at the side ;dap1TSK48: answer (Fu:dap2TSK41);;;;;;;;;;;
fsp1AUFCV14;p1;p2;;; laugh ;;dap1AUF14: autoPositive [positive] (Fe:fsp1AUFFB14);;;;;;;;;;
